class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
IPython.core.tests.test_completer.test_custom_completion_error.A,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_completer.test_get__all__entries_ok.A,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_completer.test_get__all__entries_no__all__ok.A,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_formatters.A,1,0,1,0,0,0,1,0,0,0,0
IPython.core.tests.test_interactiveshell.InteractiveShellTestCase.test_ofind_property_with_error.A,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_interactiveshell.InteractiveShellTestCase.test_ofind_multiple_attribute_lookups.A,2,1,1,1,1,0,0,0,0,1,1
IPython.core.tests.test_interactiveshell.InteractiveShellTestCase.test_ofind_slotted_attributes.A,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_interactiveshell.InteractiveShellTestCase.test_ofind_prefers_property_to_instance_level_attribute.A,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_magic.test_reset_hard.A,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_magic.test_whos.A,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_oinspect.test_getdoc.A,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_oinspect.test_property_sources.A,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_oinspect.test_property_docstring_is_in_info_for_detail_level_0.A,0,0,0,0,0,0,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestTraitType.test_get_undefined.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestTraitType.test_set.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestTraitType.test_validate.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestTraitType.test_default_validate.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestTraitType.test_is_valid_for.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestTraitType.test_value_for.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestTraitType.test_info.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestTraitType.test_error.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestTraitType.test_dynamic_initializer.A,4,1,3,1,0,1,2,0,0,0,1
IPython.utils.tests.test_traitlets.TestHasTraitsMeta.test_metaclass.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestHasTraitsMeta.test_this_class.A,3,1,2,1,0,1,1,0,0,0,1
IPython.utils.tests.test_traitlets.TestHasTraitsNotify.test_notify_all.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestHasTraitsNotify.test_notify_one.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestHasTraitsNotify.test_subclass.A,3,1,2,1,0,1,1,0,0,0,1
IPython.utils.tests.test_traitlets.TestHasTraitsNotify.test_notify_subclass.A,3,1,2,1,0,1,1,0,0,0,1
IPython.utils.tests.test_traitlets.TestHasTraitsNotify.test_static_notify.A,2,1,1,1,0,1,1,0,0,0,0
IPython.utils.tests.test_traitlets.TestHasTraitsNotify.test_notify_args.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestHasTraitsNotify.test_notify_only_once.A,3,1,2,1,0,1,1,0,0,0,1
IPython.utils.tests.test_traitlets.TestHasTraits.test_trait_names.A,3,1,2,1,0,1,0,0,0,0,2
IPython.utils.tests.test_traitlets.TestHasTraits.test_trait_metadata.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestHasTraits.test_trait_metadata_default.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestHasTraits.test_traits.A,3,1,2,1,0,1,0,0,0,0,2
IPython.utils.tests.test_traitlets.TestHasTraits.test_traits_metadata.A,3,1,2,1,0,1,0,0,0,0,2
IPython.utils.tests.test_traitlets.TestHasTraits.test_init.A,3,1,2,1,0,1,0,0,0,0,2
IPython.utils.tests.test_traitlets.TestHasTraits.test_positional_args.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestType.test_default.A,3,1,2,1,0,1,0,0,1,0,1
IPython.utils.tests.test_traitlets.TestType.test_value.A,3,1,2,1,0,1,0,0,1,0,1
IPython.utils.tests.test_traitlets.TestType.test_allow_none.A,3,1,2,1,0,1,0,0,1,0,1
IPython.utils.tests.test_traitlets.TestType.test_validate_klass.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestType.test_validate_default.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestType.test_str_klass.A,3,1,2,1,0,1,0,0,1,0,1
IPython.utils.tests.test_traitlets.TestType.test_set_str_klass.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestInstance.test_basic.A,3,1,2,1,0,1,0,0,0,0,2
IPython.utils.tests.test_traitlets.TestInstance.test_default_klass.A,3,1,2,1,0,1,0,0,0,0,2
IPython.utils.tests.test_traitlets.TestInstance.test_unique_default_value.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestInstance.test_args_kw.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestInstance.test_bad_default.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestInstance.test_instance.inner.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestLink.test_connect_same.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestLink.test_link_different.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestLink.test_unlink.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestLink.test_callbacks.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestLink.test_validate_args.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestDirectionalLink.test_connect_same.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestDirectionalLink.test_link_different.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestDirectionalLink.test_unlink.A,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestDirectionalLink.test_validate_args.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestEventful.test_list.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestEventful.test_dict.A,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_wildcard.Tests.test_dict_dir.A,0,0,0,0,0,0,0,0,0,0,0
IPython.html.services.contents.tests.test_contents_api.API,1,1,0,1,0,0,0,0,0,1,0
IPython.html.nbconvert.tests.test_nbconvert_handlers.APITest,2,1,1,1,0,1,0,0,0,0,1
IPython.html.services.config.tests.test_config_api.APITest,2,1,1,1,0,1,0,0,0,0,1
IPython.html.services.contents.tests.test_contents_api.APITest,3,1,2,1,0,1,1,0,0,0,1
IPython.html.services.kernelspecs.tests.test_kernelspecs_api.APITest,2,1,1,1,0,1,0,0,0,0,1
IPython.html.services.nbconvert.tests.test_nbconvert_api.APITest,2,1,1,1,0,1,0,0,0,0,1
IPython.html.widgets.widget_selectioncontainer.Accordion,2,1,1,1,0,1,0,0,0,0,1
IPython.kernel.adapter.Adapter,2,0,2,0,0,0,2,0,0,0,0
IPython.kernel.tests.test_adapter.AdapterTest,3,0,3,0,0,0,2,0,0,0,1
IPython.core.alias.Alias,0,0,0,0,0,0,0,0,0,0,0
IPython.core.alias.AliasError,1,0,1,0,0,0,1,0,0,0,0
IPython.core.alias.AliasManager,4,2,2,2,0,1,0,0,0,1,2
IPython.html.allow76.AllowDraftWebSocketHandler,2,0,2,0,0,0,1,0,0,0,1
IPython.qt.console.ansi_code_processor.AnsiCodeProcessor,2,1,1,1,0,0,1,0,0,1,0
IPython.utils.traitlets.Any,19,19,0,19,0,1,0,0,0,18,0
IPython.utils.tests.test_traitlets.AnyTrait,3,2,1,2,0,1,0,0,0,1,1
IPython.utils.tests.test_traitlets.AnyTraitTest,2,1,1,1,0,1,0,0,0,0,1
IPython.html.base.handlers.ApiVersionHandler,1,1,0,1,0,1,0,0,0,0,0
IPython.config.application.Application,12,1,11,1,0,1,6,0,0,0,5
IPython.config.application.ApplicationError,0,0,0,0,0,0,0,0,0,0,0
IPython.core.magic_arguments.ArgDecorator,3,0,3,0,0,0,3,0,0,0,0
IPython.core.magic_arguments.ArgMethodWrapper,4,1,3,1,0,1,3,0,0,0,0
IPython.config.loader.ArgParseConfigLoader,5,1,4,1,0,1,3,0,0,0,1
IPython.kernel.tests.test_message_spec.ArgSpec,3,1,2,1,0,1,0,0,0,0,2
IPython.html.nbextensions.ArgumentConflict,0,0,0,0,0,0,0,0,0,0,0
IPython.config.loader.ArgumentError,1,1,0,1,0,1,0,0,0,0,0
IPython.config.loader.ArgumentParser,1,1,0,1,0,0,0,0,0,1,0
IPython.testing.tools.AssertNotPrints,1,1,0,1,0,1,0,0,0,0,0
IPython.testing.tools.AssertPrints,2,0,2,0,0,0,1,0,0,0,1
IPython.core.prefilter.AssignmentChecker,2,1,1,1,0,1,0,0,0,0,1
IPython.parallel.client.asyncresult.AsyncHubResult,1,1,0,1,0,1,0,0,0,0,0
IPython.parallel.client.asyncresult.AsyncMapResult,1,1,0,1,0,1,0,0,0,0,0
IPython.parallel.client.asyncresult.AsyncResult,2,0,2,0,0,0,2,0,0,0,0
IPython.parallel.tests.test_asyncresult.AsyncResultTest,1,1,0,1,0,1,0,0,0,0,0
IPython.lib.display.Audio,1,1,0,1,0,1,0,0,0,0,0
IPython.html.base.handlers.AuthenticatedFileHandler,1,1,0,1,0,1,0,0,0,0,0
IPython.html.base.handlers.AuthenticatedHandler,1,0,1,0,0,0,1,0,0,0,0
IPython.html.base.zmqhandlers.AuthenticatedZMQStreamHandler,4,2,2,2,0,2,1,0,0,0,1
IPython.core.ultratb.AutoFormattedTB,2,2,0,2,0,1,0,0,0,1,0
IPython.core.prefilter.AutoHandler,3,1,2,1,0,1,0,0,0,0,2
IPython.core.prefilter.AutoMagicChecker,2,1,1,1,0,1,0,0,0,0,1
IPython.core.magics.auto.AutoMagics,2,1,1,1,0,1,0,0,0,0,1
IPython.core.prefilter.AutocallChecker,2,1,1,1,0,1,0,0,0,0,1
IPython.core.tests.test_handlers.Autocallable,1,1,0,1,0,1,0,0,0,0,0
IPython.extensions.autoreload.AutoreloadMagics,3,2,1,2,0,1,0,0,0,1,1
IPython.utils._process_win32.AvoidUNCPath,0,0,0,0,0,0,0,0,0,0,0
IPython.utils._process_win32_controller.AvoidUNCPath,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_oinspect.Awkward,0,0,0,0,0,0,0,0,0,0,0
IPython.core.tests.test_formatters.B,1,1,0,1,0,1,0,0,0,0,0
IPython.core.tests.test_oinspect.test_getdoc.B,0,0,0,0,0,0,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestTraitType.test_default_validate.B,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestTraitType.test_dynamic_initializer.B,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestHasTraitsMeta.test_metaclass.B,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestHasTraitsMeta.test_this_class.B,2,1,1,1,0,1,0,0,0,0,1
IPython.utils.tests.test_traitlets.TestHasTraitsNotify.test_subclass.B,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestHasTraitsNotify.test_notify_subclass.B,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestHasTraitsNotify.test_static_notify.B,1,1,0,1,0,1,0,0,0,0,0
IPython.utils.tests.test_traitlets.TestHasTraitsNotify.test_notify_only_once.B,1,1,0,1,0,1,0,0,0,0,0
