class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
ansible.module_utils.facts.AIX,1,1,0,1,0,1,0,0,0,0,0
ansible.module_utils.facts.AIXNetwork,2,2,0,2,0,2,0,0,0,0,0
ansible.runner.action_plugins.add_host.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.assemble.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.assert.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.async.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.copy.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.debug.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.fail.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.fetch.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.group_by.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.include_vars.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.normal.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.patch.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.pause.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.raw.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.script.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.set_fact.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.synchronize.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.template.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.unarchive.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.win_copy.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.runner.action_plugins.win_template.ActionModule,0,0,0,0,0,0,0,0,0,0,0
ansible.callbacks.AggregateStats,0,0,0,0,0,0,0,0,0,0,0
ansible.errors.AnsibleConnectionFailed,1,1,0,1,0,1,0,0,0,0,0
ansible.errors.AnsibleError,5,0,5,0,0,0,5,0,0,0,0
ansible.errors.AnsibleFileNotFound,1,1,0,1,0,1,0,0,0,0,0
ansible.errors.AnsibleFilterError,1,1,0,1,0,1,0,0,0,0,0
ansible.errors.AnsibleUndefinedVariable,1,1,0,1,0,1,0,0,0,0,0
ansible.errors.AnsibleYAMLValidationFailed,1,1,0,1,0,1,0,0,0,0,0
ansible.runner.poller.AsyncPoller,0,0,0,0,0,0,0,0,0,0,0
ansible.cache.base.BaseCacheModule,4,0,4,0,0,0,4,0,0,0,0
ansible.cache.jsonfile.CacheModule,1,1,0,1,0,1,0,0,0,0,0
ansible.cache.memcached.CacheModule,3,1,2,1,0,1,0,0,0,0,2
ansible.cache.memory.CacheModule,1,1,0,1,0,1,0,0,0,0,0
