class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
awscli.customizations.emr.listclusters.ActiveStateArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.addinstancegroups.AddInstanceGroups,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.configure.addmodel.AddModelCommand,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.addsteps.AddSteps,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.sessendemail.AddressesArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.s3.utils.AppendFilter,0,0,0,0,0,0,0,0,0,0,0
awscli.argparser.ArgTableArgParser,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.ec2runinstances.AssociatePublicIpAddressArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.shorthand.BackCompatVisitor,2,2,0,2,0,1,0,0,0,1,0
awscli.testutils.BaseAWSCommandParamsTest,2,0,2,0,0,0,1,0,0,0,1
awscli.testutils.BaseAWSHelpOutputTest,2,1,1,1,0,1,0,0,0,0,1
awscli.testutils.BaseAWSPreviewCommandParamsTest,1,1,0,1,0,1,0,0,0,0,0
awscli.arguments.BaseCLIArgument,6,0,6,0,0,0,6,0,0,0,0
awscli.testutils.BaseCLIDriverTest,2,0,2,0,0,0,1,0,1,0,0
awscli.errorhandler.BaseOperationError,2,0,2,0,0,0,2,0,0,0,0
awscli.testutils.BaseS3CLICommand,1,0,1,0,0,0,0,0,0,0,1
awscli.customizations.s3.syncstrategy.base.BaseSync,5,0,5,0,0,0,5,0,0,0,0
awscli.customizations.commands.BasicCommand,29,1,28,1,0,1,27,0,0,0,1
awscli.customizations.commands.BasicDocHandler,3,2,1,2,0,1,1,1,0,0,0
awscli.customizations.commands.BasicHelp,2,1,1,1,0,1,0,0,1,0,0
awscli.customizations.s3.tasks.BasicTask,4,1,3,1,0,1,3,0,0,0,0
awscli.compat.BinaryStdout,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.sessendemail.BodyArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.arguments.BooleanArgument,2,1,1,1,0,1,1,0,0,0,0
awscli.customizations.emr.config.BooleanConfiguration,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.exceptions.BothSseAndEncryptionConfiguredError,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.s3.utils.BucketLister,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.ec2bundleinstance.BundleArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.argparser.CLIArgParser,3,0,3,0,0,0,3,0,0,0,0
awscli.arguments.CLIArgument,8,2,6,2,0,1,6,0,0,1,0
awscli.clidriver.CLICommand,2,0,2,0,0,0,2,0,0,0,0
awscli.clidocs.CLIDocumentEventHandler,4,0,4,0,0,0,4,0,0,0,0
awscli.clidriver.CLIDriver,3,3,0,3,0,0,0,1,0,2,0
awscli.clidriver.CLIOperationCaller,0,0,0,0,0,0,0,0,0,0,0
awscli.testutils.CapturedOutput,0,0,0,0,0,0,0,0,0,0,0
awscli.testutils.CapturedRenderer,1,1,0,1,0,0,0,0,0,1,0
awscli.customizations.ec2secgroupsimplify.CidrArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.cliinputjson.CliInputJSONArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.errorhandler.ClientError,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.cloudtrail.subscribe.CloudTrailError,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.cloudtrail.subscribe.CloudTrailSubscribe,2,1,1,1,0,1,1,0,0,0,0
awscli.customizations.cloudtrail.subscribe.CloudTrailUpdate,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.cloudtrail.validation.CloudTrailValidateLogs,2,1,1,1,0,1,0,0,0,0,1
awscli.customizations.emr.listclusters.ClusterStatesArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.exceptions.ClusterStatesFilterValidationError,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.emr.exceptions.ClusterTerminatedError,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.awslambda.CodeArgument,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.codecommit.CodeCommitCommand,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.codecommit.CodeCommitGetCommand,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.codecommit.CodeCommitNoOpEraseCommand,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.codecommit.CodeCommitNoOpStoreCommand,1,1,0,1,0,1,0,0,0,0,0
awscli.table.ColorizedStyler,2,2,0,2,0,1,0,0,0,1,0
awscli.customizations.emr.command.Command,17,1,16,1,0,1,16,0,0,0,0
awscli.customizations.s3.subcommands.CommandArchitecture,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.subcommands.CommandParameters,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.removals.CommandRemover,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.comparator.Comparator,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.s3.tasks.CompleteDownloadTask,1,1,0,1,0,1,0,0,0,0,0
awscli.customizations.s3.tasks.CompleteMultipartUploadTask,1,1,0,1,0,1,0,0,0,0,0
awscli.completer.Completer,2,0,2,0,0,0,0,0,0,0,2
awscli.customizations.configure.ConfigFileWriter,3,3,0,3,0,0,0,2,0,1,0
awscli.customizations.configure.ConfigValue,0,0,0,0,0,0,0,0,0,0,0
awscli.customizations.emr.configutils.ConfigWriter,1,0,1,0,0,0,0,0,0,0,1
awscli.customizations.emr.config.Configuration,2,0,2,0,0,0,2,0,0,0,0
