class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
test_wrapper.BasicSuite,3,0,3,0,0,0,3,0,0,0,0
test_wrapper.GetSuite,1,1,0,1,0,1,0,0,0,0,0
test_wrapper.MiscSuite,1,1,0,1,0,1,0,0,0,0,0
test_wrapper.TestApplicationObjects,1,1,0,1,0,1,0,0,0,0,0
test_wrapper.TestsWithEnvironment,0,0,0,0,0,0,0,0,0,0,0
tests.unit.AWSMockServiceTestCase,1,0,1,0,0,0,1,0,0,0,0
tests.unit.ec2.test_address.AddressTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.ec2.test_address.AddressWithAllocationTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.ec2.test_address.AddressWithNetworkInterfaceTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.ec2.test_volume.AttachmentSetTests,0,0,0,0,0,0,0,0,0,0,0
tests.integration.ec2.autoscale.test_cert_verification.AutoscaleCertVerificationTest,1,1,0,1,0,1,0,0,0,0,0
tests.integration.ec2.autoscale.test_connection.AutoscaleConnectionTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.dynamodb2.test_table.BatchGetResultSetTestCase,0,0,0,0,0,0,0,0,0,0,0
tests.unit.ec2.test_blockdevicemapping.BlockDeviceMappingTests,0,0,0,0,0,0,0,0,0,0,0
tests.unit.ec2.test_blockdevicemapping.BlockDeviceTypeTests,0,0,0,0,0,0,0,0,0,0,0
tests.integration.ec2.cloudwatch.test_connection.CloudWatchConnectionTest.test_describe_alarms.make_request.Body,0,0,0,0,0,0,0,0,0,0,0
tests.unit.cloudfront.test_invalidation_list.CFInvalidationListTest,0,0,0,0,0,0,0,0,0,0,0
tests.integration.gs.cb_test_harness.CallbackTestHarness,0,0,0,0,0,0,0,0,0,0,0
tests.integration.s3.test_https_cert_validation.CertValidationTest,0,0,0,0,0,0,0,0,0,0,0
tests.integration.cloudformation.test_cert_verification.CloudFormationCertVerificationTest,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudformation.test_connection.CloudFormationConnectionBase,15,0,15,0,0,0,15,0,0,0,0
tests.unit.cloudsearch.test_document.CloudSearchBadSDFTesting,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch2.test_document.CloudSearchBadSDFTesting,1,1,0,1,0,1,0,0,0,0,0
tests.integration.cloudsearch.test_cert_verification.CloudSearchCertVerificationTest,1,1,0,1,0,1,0,0,0,0,0
tests.integration.cloudsearch2.test_cert_verification.CloudSearchCertVerificationTest,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch.test_connection.CloudSearchConnectionDeletionTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.cloudsearch2.test_connection.CloudSearchConnectionDeletionTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.cloudsearch.test_connection.CloudSearchConnectionIndexDocumentTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.cloudsearch2.test_connection.CloudSearchConnectionIndexDocumentTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.cloudsearch.test_search.CloudSearchConnectionTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.cloudsearch2.test_search.CloudSearchConnectionTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.cloudsearch2.test_document.CloudSearchDocumentConnectionTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.cloudsearch.test_document.CloudSearchDocumentDelete,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch2.test_document.CloudSearchDocumentDelete,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch.test_document.CloudSearchDocumentDeleteMultiple,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch2.test_document.CloudSearchDocumentDeleteMultiple,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch.test_document.CloudSearchDocumentErrorBadUnicode,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch2.test_document.CloudSearchDocumentErrorBadUnicode,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch.test_document.CloudSearchDocumentErrorDocsTooBig,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch2.test_document.CloudSearchDocumentErrorDocsTooBig,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch.test_document.CloudSearchDocumentErrorMismatch,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch2.test_document.CloudSearchDocumentErrorMismatch,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch.test_document.CloudSearchDocumentMultipleAddTest,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch2.test_document.CloudSearchDocumentMultipleAddTest,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch.test_document.CloudSearchDocumentSingleTest,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch2.test_document.CloudSearchDocumentSingleTest,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch.test_document.CloudSearchDocumentTest,10,0,10,0,0,0,10,0,0,0,0
tests.unit.cloudsearch2.test_document.CloudSearchDocumentTest,9,0,9,0,0,0,9,0,0,0,0
tests.unit.cloudsearch.test_document.CloudSearchDocumentsErrorMissingAdds,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearchdomain.test_cloudsearchdomain.CloudSearchDomainConnectionTest,0,0,0,0,0,0,0,0,0,0,0
tests.unit.cloudsearch.test_exceptions.CloudSearchJSONExceptionTest,1,1,0,1,0,1,0,0,0,0,0
tests.unit.cloudsearch2.test_exceptions.CloudSearchJSONExceptionTest,1,1,0,1,0,1,0,0,0,0,0
tests.integration.cloudsearch.test_layers.CloudSearchLayer1Test,0,0,0,0,0,0,0,0,0,0,0
tests.integration.cloudsearch2.test_layers.CloudSearchLayer1Test,0,0,0,0,0,0,0,0,0,0,0
tests.integration.cloudsearch.test_layers.CloudSearchLayer2Test,0,0,0,0,0,0,0,0,0,0,0
tests.integration.cloudsearch2.test_layers.CloudSearchLayer2Test,0,0,0,0,0,0,0,0,0,0,0
