class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
django.contrib.gis.geos.libgeos.GEOSContextHandle_t,0,0,0,0,0,0,0,0,0,0,0
django.contrib.gis.geos.libgeos.GEOSCoordSeq_t,0,0,0,0,0,0,0,0,0,0,0
django.contrib.gis.geos.libgeos.GEOSGeom_t,0,0,0,0,0,0,0,0,0,0,0
django.contrib.gis.geos.libgeos.GEOSPrepGeom_t,0,0,0,0,0,0,0,0,0,0,0
apps.tests.AppConfigTests,0,0,0,0,0,0,0,0,0,0,0
apps.tests.AppsTests,0,0,0,0,0,0,0,0,0,0,0
apps.tests.AppConfigTests.test_path_set_explicitly.MyAppConfig,0,0,0,0,0,0,0,0,0,0,0
apps.tests.AppConfigTests.test_explicit_path_overrides.MyAppConfig,0,0,0,0,0,0,0,0,0,0,0
apps.tests.NamespacePackageAppTests,0,0,0,0,0,0,0,0,0,0,0
apps.tests.Stub,0,0,0,0,0,0,0,0,0,0,0
auth_tests.test_context_processors.AuthContextProcessorTests,0,0,0,0,0,0,0,0,0,0,0
auth_tests.test_context_processors.PermWrapperTests.EQLimiterObject,0,0,0,0,0,0,0,0,0,0,0
auth_tests.test_context_processors.MockUser,0,0,0,0,0,0,0,0,0,0,0
auth_tests.test_context_processors.PermWrapperTests,0,0,0,0,0,0,0,0,0,0,0
auth_tests.test_signals.SignalTestCase,0,0,0,0,0,0,0,0,0,0,0
backends.models.Article,0,0,0,0,0,0,0,0,0,0,0
backends.models.Item,0,0,0,0,0,0,0,0,0,0,0
backends.models.VeryLongModelNameZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ.Meta,0,0,0,0,0,0,0,0,0,0,0
backends.models.Post.Meta,0,0,0,0,0,0,0,0,0,0,0
backends.models.ReporterProxy.Meta,0,0,0,0,0,0,0,0,0,0,0
backends.models.Object,0,0,0,0,0,0,0,0,0,0,0
backends.models.ObjectReference,0,0,0,0,0,0,0,0,0,0,0
backends.models.Person,0,0,0,0,0,0,0,0,0,0,0
backends.models.Post,0,0,0,0,0,0,0,0,0,0,0
backends.models.RawData,0,0,0,0,0,0,0,0,0,0,0
backends.models.Reporter,1,0,1,0,0,0,1,0,0,0,0
backends.models.ReporterProxy,1,1,0,1,0,1,0,0,0,0,0
backends.models.SchoolClass,0,0,0,0,0,0,0,0,0,0,0
backends.models.Square,0,0,0,0,0,0,0,0,0,0,0
backends.models.Tag,0,0,0,0,0,0,0,0,0,0,0
backends.models.VeryLongModelNameZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,0,0,0,0,0,0,0,0,0,0,0
cache.tests.BaseCacheTests,4,0,4,0,0,0,4,0,0,0,0
cache.tests.C,0,0,0,0,0,0,0,0,0,0,0
cache.tests.CacheHEADTest,0,0,0,0,0,0,0,0,0,0,0
cache.tests.CacheHandlerTest,0,0,0,0,0,0,0,0,0,0,0
cache.tests.CacheI18nTest,1,0,1,0,0,0,1,0,0,0,0
cache.tests.CacheMiddlewareTest,0,0,0,0,0,0,0,0,0,0,0
cache.tests.CacheUtils,1,0,1,0,0,0,1,0,0,0,0
cache.tests.CreateCacheTableForDBCacheTests,0,0,0,0,0,0,0,0,0,0,0
cache.tests.CustomCacheKeyValidationTests,0,0,0,0,0,0,0,0,0,0,0
cache.tests.CacheI18nTest.test_cache_key_with_non_ascii_tzname.CustomTzName,0,0,0,0,0,0,0,0,0,0,0
cache.tests.DBCacheRouter,0,0,0,0,0,0,0,0,0,0,0
cache.tests.DBCacheTests,2,1,1,1,0,1,1,0,0,0,0
cache.tests.DBCacheWithTimeZoneTests,1,1,0,1,0,1,0,0,0,0,0
cache.tests.DefaultNonExpiringCacheKeyTests,0,0,0,0,0,0,0,0,0,0,0
cache.tests.DummyCacheTests,0,0,0,0,0,0,0,0,0,0,0
cache.tests.FileBasedCacheTests,1,1,0,1,0,1,0,0,0,0,0
cache.tests.GetCacheTests,0,0,0,0,0,0,0,0,0,0,0
cache.tests.LocMemCacheTests,1,1,0,1,0,1,0,0,0,0,0
cache.tests.MemcachedCacheTests,1,1,0,1,0,1,0,0,0,0,0
cache.tests.PicklingSideEffect,0,0,0,0,0,0,0,0,0,0,0
cache.tests.PrefixedCacheI18nTest,1,1,0,1,0,1,0,0,0,0,0
cache.tests.PrefixedCacheUtils,1,1,0,1,0,1,0,0,0,0,0
cache.tests.TestMakeTemplateFragmentKey,0,0,0,0,0,0,0,0,0,0,0
cache.tests.TestWithTemplateResponse,0,0,0,0,0,0,0,0,0,0,0
cache.tests.Unpickable,0,0,0,0,0,0,0,0,0,0,0
csrf_tests.tests.CsrfViewMiddlewareTest.test_post_data_read_failure.CsrfPostRequest,0,0,0,0,0,0,0,0,0,0,0
csrf_tests.tests.CsrfViewMiddlewareTest,0,0,0,0,0,0,0,0,0,0,0
csrf_tests.tests.CsrfViewMiddlewareTest.test_ensures_csrf_cookie_no_logging.TestHandler,0,0,0,0,0,0,0,0,0,0,0
csrf_tests.tests.TestingHttpRequest,0,0,0,0,0,0,0,0,0,0,0
custom_columns.models.Article,0,0,0,0,0,0,0,0,0,0,0
custom_columns.models.Author,0,0,0,0,0,0,0,0,0,0,0
custom_columns.models.Author.Meta,0,0,0,0,0,0,0,0,0,0,0
custom_columns.models.Article.Meta,0,0,0,0,0,0,0,0,0,0,0
defer_regress.tests.DeferAnnotateSelectRelatedTest,0,0,0,0,0,0,0,0,0,0,0
defer_regress.tests.DeferRegressionTest,0,0,0,0,0,0,0,0,0,0,0
custom_columns.models.Article,0,0,0,0,0,0,0,0,0,0,0
custom_columns.models.Author,0,0,0,0,0,0,0,0,0,0,0
custom_columns.models.Author.Meta,0,0,0,0,0,0,0,0,0,0,0
custom_columns.models.Article.Meta,0,0,0,0,0,0,0,0,0,0,0
expressions.models.Company,0,0,0,0,0,0,0,0,0,0,0
expressions.models.Employee,0,0,0,0,0,0,0,0,0,0,0
expressions.models.Experiment,0,0,0,0,0,0,0,0,0,0,0
expressions.models.Experiment.Meta,0,0,0,0,0,0,0,0,0,0,0
expressions.models.Number,0,0,0,0,0,0,0,0,0,0,0
expressions.models.Time,0,0,0,0,0,0,0,0,0,0,0
expressions.models.UUID,0,0,0,0,0,0,0,0,0,0,0
djangodocs.DjangoHTMLTranslator,0,0,0,0,0,0,0,0,0,0,0
djangodocs.DjangoStandaloneHTMLBuilder,0,0,0,0,0,0,0,0,0,0,0
djangodocs.SnippetWithFilename,0,0,0,0,0,0,0,0,0,0,0
djangodocs.VersionDirective,0,0,0,0,0,0,0,0,0,0,0
djangodocs.snippet_with_filename,0,0,0,0,0,0,0,0,0,0,0
field_deconstruction.tests.FieldDeconstructionTests,0,0,0,0,0,0,0,0,0,0,0
fixtures.models.Article,0,0,0,0,0,0,0,0,0,0,0
fixtures.models.Blog,0,0,0,0,0,0,0,0,0,0,0
fixtures.models.Book,0,0,0,0,0,0,0,0,0,0,0
fixtures.models.Category,0,0,0,0,0,0,0,0,0,0,0
fixtures.models.Category.Meta,0,0,0,0,0,0,0,0,0,0,0
fixtures.models.Article.Meta,0,0,0,0,0,0,0,0,0,0,0
fixtures.models.Person.Meta,0,0,0,0,0,0,0,0,0,0,0
