class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
mailpile.commands.Abort,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.contacts.AddContact,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.groups.AddGroup,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.contacts.AddProfile,2,1,1,1,0,1,1,0,0,0,0
mailpile.plugins.tags.AddTag,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.contacts.AddVCard,1,1,0,1,0,1,0,0,0,0,0
mailpile.mailutils.AddressHeaderParser,0,0,0,0,0,0,0,0,0,0,0
mailpile.vcard.AddressInfo,0,0,0,0,0,0,0,0,0,0,0
mailpile.plugins.contacts.AddressSearch,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.compose.Attach,1,1,0,1,0,1,0,0,0,0,0
mailpile.auth.Authenticate,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.autotag.AutoTag,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.autotag.AutoTagCommand,2,0,2,0,0,0,2,0,0,0,0
mailpile.plugins.autotag.AutoTagger,0,0,0,0,0,0,0,0,0,0,0
mailpile.urlmap.BadDataError,0,0,0,0,0,0,0,0,0,0,0
mailpile.mail_source.imap._Mocks.BadLogin,1,1,0,1,0,1,0,0,0,0,0
mailpile.urlmap.BadMethodError,0,0,0,0,0,0,0,0,0,0,0
mailpile.mail_source.BaseMailSource,0,0,0,0,0,0,0,0,0,0,0
mailpile.commands.BrowseOrLaunch,1,1,0,1,0,1,0,0,0,0,0
mailpile.commands.Cached,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.eventlog.Cancel,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.vcard_carddav.CardDAV,2,2,0,2,0,1,0,0,0,1,0
mailpile.plugins.vcard_carddav.CardDAVImporter,2,1,1,1,0,1,0,0,0,0,1
mailpile.commands.CatFile,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.vcard_mork.MorkImporter.Cell,0,0,0,0,0,0,0,0,0,0,0
mailpile.commands.ChangeDir,1,1,0,1,0,1,0,0,0,0,0
mailpile.crypto.streamer.ChecksummingStreamer,3,1,2,1,0,1,1,0,0,0,1
mailpile.plugins.contacts.ChooseFromAddress,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.autotag.Classify,1,0,1,0,0,0,1,0,0,0,0
mailpile.commands.Command,66,0,66,0,0,0,65,0,0,0,1
mailpile.command_cache.CommandCache,0,0,0,0,0,0,0,0,0,0,0
mailpile.commands.Command.CommandResult,19,0,19,0,0,0,19,0,0,0,0
mailpile.commands.ProgramStatus.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.commands.GpgCommand.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.commands.ListDir.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.commands.CatFile.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.commands.Help.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.urlmap.HelpUrlMap.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.contacts.VCardCommand.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGKeySearch.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGKeyImportFromMail.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGUsageStatistics.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGCheckKeys.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.search.Search.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.search.Extract.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.tags.Tag.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.tags.AddTag.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.tags.ListTags.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.tags.DeleteTag.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.tags.ListFilters.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.vcard_gnupg.PGPKeysAsVCards.CommandResult,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.compose.Compose,2,1,1,1,0,1,1,0,0,0,0
mailpile.plugins.compose.CompositionCommand,7,1,6,1,0,1,6,0,0,0,0
mailpile.commands.ConfigAdd,1,1,0,1,0,1,0,0,0,0,0
mailpile.commands.ConfigPrint,1,1,0,1,0,1,0,0,0,0,0
mailpile.commands.ConfigSet,1,1,0,1,0,1,0,0,0,0,0
mailpile.commands.ConfigUnset,1,1,0,1,0,1,0,0,0,0,0
mailpile.commands.ConfigureMailboxes,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.contacts.Contact,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.contacts.ContactImport,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.contacts.ContactImporters,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.contacts.ContactVCard.ContactVCardCommand,4,0,4,0,0,0,4,0,0,0,0
mailpile.tests.gui.test_contacts.ContactsGuiTest,0,0,0,0,0,0,0,0,0,0,0
mailpile.plugins.crypto_gnupg.ContentTxf,0,0,0,0,0,0,0,0,0,0,0
mailpile.workers.Cron,0,0,0,0,0,0,0,0,0,0,0
mailpile.crypto.state.CryptoInfo,2,0,2,0,0,0,2,0,0,0,0
mailpile.plugins.crypto_policy.CryptoPolicy,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_policy.CryptoPolicyBaseAction,3,1,2,1,0,1,2,0,0,0,0
mailpile.tests.test_crypto_policy.CryptoPolicyBaseTest,2,0,2,0,0,0,2,0,0,0,0
mailpile.tests.test_crypto_policy.CryptoPolicyForUserTest,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.CryptoTxf,0,0,0,0,0,0,0,0,0,0,0
mailpile.plugins.vcard_carddav.DAVClient,1,0,1,0,0,0,1,0,0,0,0
mailpile.plugins.keylookup.dnspka.DNSPKALookupHandler,0,0,0,0,0,0,0,0,0,0,0
mailpile.plugins.vcard_mork.MorkImporter.Database,1,1,0,1,0,0,0,1,0,0,0
mailpile.auth.DeAuthenticate,1,1,0,1,0,1,0,0,0,0,0
mailpile.mail_generator.DecodedGenerator,1,1,0,1,0,1,0,0,0,0,0
mailpile.crypto.streamer.DecryptingStreamer,3,1,2,1,0,1,1,0,0,0,1
mailpile.plugins.tags.DeleteFilter,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.tags.DeleteTag,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.plugins.DisablePlugin,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.compose.Draft,1,1,0,1,0,1,0,0,0,0,0
mailpile.workers.DumbWorker,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.contacts.EditProfile,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.compose.EditableSearchResults,1,1,0,1,0,1,0,0,0,0,0
mailpile.tests.gui.ElementHasClass,0,0,0,0,0,0,0,0,0,0,0
mailpile.tests.gui.ElementHasNotClass,0,0,0,0,0,0,0,0,0,0,0
mailpile.mailutils.Email,0,0,0,0,0,0,0,0,0,0,0
mailpile.plugins.keylookup.email_keylookup.EmailKeyLookupHandler,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.EmailTransform,0,0,0,0,0,0,0,0,0,0,0
mailpile.plugins.compose.EmptyOutbox,1,1,0,1,0,1,0,0,0,0,0
mailpile.crypto.streamer.EncryptingDelimitedStreamer,3,2,1,2,0,1,1,0,0,1,0
mailpile.crypto.streamer.EncryptingUndelimitedStreamer,2,2,0,2,0,1,0,0,0,1,0
mailpile.crypto.mime.EncryptionFailureError,0,0,0,0,0,0,0,0,0,0,0
mailpile.crypto.state.EncryptionInfo,2,2,0,2,0,1,0,0,0,1,0
mailpile.eventlog.Event,1,1,0,1,0,0,0,0,0,1,0
mailpile.eventlog.EventLog,2,0,2,0,0,0,0,0,0,0,2
mailpile.plugins.eventlog.Events,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.exporters.ExportMail,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.search.Extract,1,1,0,1,0,1,0,0,0,0,0
mailpile.vfs.FilePath,1,1,0,1,0,0,0,0,0,1,0
mailpile.plugins.tags.Filter,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.tags.FilterCommand,3,1,2,1,0,1,2,0,0,0,0
mailpile.plugins.compose.Forward,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGCheckKeys,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGKeyImport,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGKeyImportFromMail,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGKeyList,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGKeyListSecret,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGKeyReceive,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGKeySearch,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGKeySign,1,1,0,1,0,1,0,0,0,0,0
mailpile.plugins.crypto_gnupg.GPGUsageStatistics,1,1,0,1,0,1,0,0,0,0,0
mailpile.mail_generator.Generator,1,0,1,0,0,0,1,0,0,0,0
