class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
setupext.BackendAgg,1,1,0,1,0,1,0,0,0,0,0
setupext.BackendCairo,1,1,0,1,0,1,0,0,0,0,0
setupext.BackendGtk,2,1,1,1,0,1,1,0,0,0,0
setupext.BackendGtk3Agg,1,1,0,1,0,1,0,0,0,0,0
setupext.BackendGtk3Cairo,1,1,0,1,0,1,0,0,0,0,0
setupext.BackendGtkAgg,1,1,0,1,0,1,0,0,0,0,0
setupext.BackendMacOSX,1,1,0,1,0,1,0,0,0,0,0
setupext.BackendPySide,1,1,0,1,0,1,0,0,0,0,0
setupext.BackendQt4,1,1,0,1,0,1,0,0,0,0,0
setupext.BackendQt5,1,1,0,1,0,1,0,0,0,0,0
setupext.BackendQtBase,4,1,3,1,0,1,3,0,0,0,0
setupext.BackendTkAgg,1,1,0,1,0,1,0,0,0,0,0
setupext.BackendWxAgg,1,1,0,1,0,1,0,0,0,0,0
setupext.CXX,1,1,0,1,0,1,0,0,0,0,0
setupext.CheckFailed,0,0,0,0,0,0,0,0,0,0,0
setupext.Contour,1,1,0,1,0,1,0,0,0,0,0
setupext.Dateutil,1,1,0,1,0,1,0,0,0,0,0
setupext.Delaunay,1,1,0,1,0,1,0,0,0,0,0
setupext.DelayedExtension,1,0,1,0,0,0,0,0,0,0,1
setupext.DelayedExtension.DelayedMember,1,1,0,1,0,0,0,0,0,1,0
setupext.DviPng,1,1,0,1,0,1,0,0,0,0,0
setupext.FT2Font,1,1,0,1,0,1,0,0,0,0,0
setupext.FreeType,1,1,0,1,0,1,0,0,0,0,0
setupext.Ghostscript,1,1,0,1,0,1,0,0,0,0,0
setupext.Image,1,1,0,1,0,1,0,0,0,0,0
setupext.LaTeX,1,1,0,1,0,1,0,0,0,0,0
setupext.LibAgg,1,1,0,1,0,1,0,0,0,0,0
setupext.Matplotlib,1,1,0,1,0,1,0,0,0,0,0
setupext.Numpy,1,1,0,1,0,1,0,0,0,0,0
setupext.OptionalBackendPackage,11,1,10,1,0,1,10,0,0,0,0
setupext.OptionalPackage,6,1,5,1,0,1,5,0,0,0,0
setupext.Path,1,1,0,1,0,1,0,0,0,0,0
setupext.PdfToPs,1,1,0,1,0,1,0,0,0,0,0
setupext.PkgConfig,0,0,0,0,0,0,0,0,0,0,0
setupext.Platform,1,1,0,1,0,1,0,0,0,0,0
setupext.Png,1,1,0,1,0,1,0,0,0,0,0
setupext.Pyparsing,1,1,0,1,0,1,0,0,0,0,0
setupext.Python,1,1,0,1,0,1,0,0,0,0,0
setupext.Pytz,1,1,0,1,0,1,0,0,0,0,0
setupext.Qhull,1,1,0,1,0,1,0,0,0,0,0
setupext.QhullWrap,1,1,0,1,0,1,0,0,0,0,0
setupext.SampleData,1,1,0,1,0,1,0,0,0,0,0
setupext.SetupPackage,26,0,26,0,0,0,26,0,0,0,0
setupext.Six,1,1,0,1,0,1,0,0,0,0,0
setupext.TTConv,1,1,0,1,0,1,0,0,0,0,0
setupext.Tests,2,1,1,1,0,1,1,0,0,0,0
setupext.Toolkits,1,1,0,1,0,1,0,0,0,0,0
setupext.Toolkits_Tests,1,1,0,1,0,1,0,0,0,0,0
setupext.Tornado,1,1,0,1,0,1,0,0,0,0,0
setupext.Tri,1,1,0,1,0,1,0,0,0,0,0
setupext.Windowing,1,1,0,1,0,1,0,0,0,0,0
path_editor.PathInteractor,0,0,0,0,0,0,0,0,0,0,0
matplotlib.table.Cell,0,0,0,0,0,0,0,0,0,0,0
matplotlib.table.Table,0,0,0,0,0,0,0,0,0,0,0
mpl_toolkits.axes_grid1.axes_size.Add,1,1,0,1,0,1,0,0,0,0,0
mpl_toolkits.axes_grid1.axes_size.AddList,1,1,0,1,0,1,0,0,0,0,0
mpl_toolkits.axes_grid1.anchored_artists.AnchoredAuxTransformBox,0,0,0,0,0,0,0,0,0,0,0
mpl_toolkits.axes_grid1.anchored_artists.AnchoredDrawingArea,0,0,0,0,0,0,0,0,0,0,0
mpl_toolkits.axes_grid1.anchored_artists.AnchoredEllipse,0,0,0,0,0,0,0,0,0,0,0
mpl_toolkits.axes_grid1.inset_locator.AnchoredLocatorBase,2,0,2,0,0,0,2,0,0,0,0
mpl_toolkits.axes_grid1.anchored_artists.AnchoredSizeBar,0,0,0,0,0,0,0,0,0,0,0
mpl_toolkits.axes_grid1.inset_locator.AnchoredSizeLocator,3,1,2,1,0,1,0,0,0,0,2
mpl_toolkits.axes_grid1.inset_locator.AnchoredZoomLocator,1,1,0,1,0,1,0,0,0,0,0
mpl_toolkits.axisartist.axis_artist.AttributeCopier,3,0,3,0,0,0,3,0,0,0,0
mpl_toolkits.axes_grid1.mpl_axes.Axes,2,1,1,1,0,0,0,0,0,1,1
mpl_toolkits.axisartist.axislines.Axes,5,1,4,1,0,0,1,0,1,1,2
mpl_toolkits.mplot3d.axes3d.Axes3D,3,0,3,0,0,0,0,0,0,0,3
mpl_toolkits.axes_grid1.axes_divider.AxesDivider,3,1,2,1,0,1,0,0,0,0,2
mpl_toolkits.axes_grid1.axes_divider.AxesLocator,0,0,0,0,0,0,0,0,0,0,0
mpl_toolkits.axes_grid1.axes_size.AxesX,2,2,0,2,0,1,0,0,0,1,0
mpl_toolkits.axes_grid1.axes_size.AxesY,2,2,0,2,0,1,0,0,0,1,0
mpl_toolkits.axisartist.axislines.AxesZero,1,1,0,1,0,1,0,0,0,0,0
mpl_toolkits.mplot3d.axis3d.Axis,4,0,4,0,0,0,3,0,0,0,1
mpl_toolkits.axisartist.axis_artist.AxisArtist,5,0,5,0,0,0,0,0,0,0,5
mpl_toolkits.axisartist.axislines.AxisArtistHelper,0,0,0,0,0,0,0,0,0,0,0
mpl_toolkits.axisartist.axislines.AxisArtistHelperRectlinear,0,0,0,0,0,0,0,0,0,0,0
mpl_toolkits.axes_grid1.mpl_axes.Axes.AxisDict,1,1,0,1,0,0,0,0,0,1,0
mpl_toolkits.axisartist.axislines.Axes.AxisDict,1,1,0,1,0,0,0,0,0,1,0
mpl_toolkits.axisartist.axis_artist.AxisLabel,4,3,1,3,0,2,1,0,0,1,0
