class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
nltk.test.doctest_nose_plugin.DoctestFix,1,1,0,1,0,1,0,0,0,0,0
nltk.test.doctest_nose_plugin.DoctestPluginHelper,1,0,1,0,0,0,1,0,0,0,0
nltk.test.unit.test_naivebayes.NaiveBayesClassifierTest,0,0,0,0,0,0,0,0,0,0,0
nltk.test.runtests.NltkPluginManager,0,0,0,0,0,0,0,0,0,0,0
nltk.test.unit.test_stem.SnowballTest,0,0,0,0,0,0,0,0,0,0,0
nltk.test.unit.test_collocations.TestBigram,0,0,0,0,0,0,0,0,0,0,0
nltk.test.unit.test_corpora.TestCess,0,0,0,0,0,0,0,0,0,0,0
nltk.test.unit.test_corpora.TestCoNLL2007,0,0,0,0,0,0,0,0,0,0,0
nltk.test.unit.test_corpus_views.TestCorpusViews,0,0,0,0,0,0,0,0,0,0,0
nltk.test.unit.test_corpora.TestFloresta,0,0,0,0,0,0,0,0,0,0,0
nltk.test.unit.test_corpora.TestIndian,0,0,0,0,0,0,0,0,0,0,0
nltk.test.unit.test_corpora.TestPTB,0,0,0,0,0,0,0,0,0,0,0
nltk.test.unit.test_corpora.TestSinicaTreebank,0,0,0,0,0,0,0,0,0,0,0
nltk.test.unit.test_2x_compat.TestTextTransliteration,0,0,0,0,0,0,0,0,0,0,0
nltk.test.unit.test_corpora.TestUdhr,0,0,0,0,0,0,0,0,0,0,0
nltk.test.doctest_nose_plugin._UnicodeOutputChecker,0,0,0,0,0,0,0,0,0,0,0
nltk.classify.weka.ARFF_Formatter,0,0,0,0,0,0,0,0,0,0,0
nltk.sem.boxer.AbstractBoxerDrs,3,0,3,0,0,0,3,0,0,0,0
nltk.ccg.api.AbstractCCGCategory,3,0,3,0,0,0,3,0,0,0,0
nltk.parse.chart.AbstractChartRule,14,1,13,1,0,1,13,0,0,0,0
nltk.collocations.AbstractCollocationFinder,4,0,4,0,0,0,3,0,1,0,0
nltk.draw.util.AbstractContainerWidget,5,1,4,1,0,1,4,0,0,0,0
nltk.util.AbstractLazySequence,5,0,5,0,0,0,5,0,0,0,0
nltk.tree.AbstractParentedTree,3,1,2,1,0,1,2,0,0,0,0
nltk.sem.logic.AbstractVariableExpression,5,1,4,1,0,1,4,0,0,0,0
nltk.tag.sequential.AffixTagger,1,1,0,1,0,1,0,0,0,0,0
nltk.inference.tableau.Agenda,0,0,0,0,0,0,0,0,0,0,0
nltk.corpus.reader.aligned.AlignedCorpusReader,3,1,2,1,0,1,0,0,2,0,0
nltk.align.api.AlignedSent,1,0,1,0,0,0,0,0,1,0,0
nltk.corpus.reader.aligned.AlignedSentCorpusView,1,1,0,1,0,1,0,0,0,0,0
nltk.align.api.Alignment,1,1,0,1,0,0,0,1,0,0,0
nltk.sem.logic.AllExpression,1,1,0,1,0,1,0,0,0,0,0
nltk.corpus.reader.bracket_parse.AlpinoCorpusReader,1,1,0,1,0,1,0,0,0,0,0
nltk.sem.drt.AnaphoraResolutionException,0,0,0,0,0,0,0,0,0,0,0
nltk.sem.logic.AndExpression,1,1,0,1,0,1,0,0,0,0,0
nltk.metrics.agreement.AnnotationTask,0,0,0,0,0,0,0,0,0,0,0
nltk.sem.logic.AnyType,6,6,0,6,0,2,0,0,0,4,0
nltk.sem.linearlogic.ApplicationExpression,2,1,1,1,0,1,0,0,1,0,0
nltk.sem.logic.ApplicationExpression,2,1,1,1,0,1,1,0,0,0,0
nltk.sem.evaluate.Assignment,0,0,0,0,0,0,0,0,0,0,0
nltk.sem.linearlogic.AtomicExpression,3,1,2,1,0,1,2,0,0,0,0
nltk.corpus.reader.framenet.AttrDict,2,1,1,1,0,0,1,0,0,1,0
nltk.corpus.reader.bnc.BNCCorpusReader,1,1,0,1,0,1,0,0,0,0,0
nltk.corpus.reader.bnc.BNCSentence,0,0,0,0,0,0,0,0,0,0,0
nltk.corpus.reader.bnc.BNCWordView,1,1,0,1,0,1,0,0,0,0,0
nltk.ccg.combinator.BackwardCombinator,2,2,0,2,0,1,0,1,0,0,0
nltk.ccg.chart.BackwardTypeRaiseRule,2,1,1,1,0,1,0,0,1,0,0
nltk.inference.api.BaseModelBuilderCommand,4,2,2,2,0,2,2,0,0,0,0
nltk.inference.api.BaseProverCommand,6,2,4,2,0,2,4,0,0,0,0
