class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
test_dtype.TestSubarray.test_shape_sequence.IntLike,0,0,0,0,0,0,0,0,0,0,0
test_dtype.TestBuiltin,0,0,0,0,0,0,0,0,0,0,0
test_dtype.TestDtypeAttributeDeletion,0,0,0,0,0,0,0,0,0,0,0
test_dtype.TestDtypeAttributes,0,0,0,0,0,0,0,0,0,0,0
test_dtype.TestMetadata,0,0,0,0,0,0,0,0,0,0,0
test_dtype.TestMonsterType,0,0,0,0,0,0,0,0,0,0,0
test_dtype.TestRecord,0,0,0,0,0,0,0,0,0,0,0
test_dtype.TestString,0,0,0,0,0,0,0,0,0,0,0
test_dtype.TestSubarray,0,0,0,0,0,0,0,0,0,0,0
test_dtype.TestDtypeAttributes.test_name_dtype_subclass.user_def_subcls,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedArrayFunctions.test_compressed.A,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedArrayFunctions.test_compressed.M,0,0,0,0,0,0,0,0,0,0,0
test_core.TestUfuncs.test_treatment_of_NotImplemented.MyClass,0,0,0,0,0,0,0,0,0,0,0
test_core.TestFillingValues,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedArray,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedArrayArithmetic,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedArrayAttributes,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedArrayFunctions,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedArrayInPlaceArithmetics,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedArrayMathMethods,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedArrayMathMethodsComplex,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedArrayMethods,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedFields,0,0,0,0,0,0,0,0,0,0,0
test_core.TestMaskedView,0,0,0,0,0,0,0,0,0,0,0
test_core.TestUfuncs,0,0,0,0,0,0,0,0,0,0,0
test_subclassing.ComplicatedSubArray,1,1,0,1,0,1,0,0,0,0,0
test_subclassing.MMatrix,0,0,0,0,0,0,0,0,0,0,0
test_subclassing.MSubArray,1,1,0,1,0,1,0,0,0,0,0
test_subclassing.SubArray,2,0,2,0,0,0,2,0,0,0,0
test_subclassing.TestSubclassing,0,0,0,0,0,0,0,0,0,0,0
test_laguerre.TestArithmetic,0,0,0,0,0,0,0,0,0,0,0
test_laguerre.TestCompanion,0,0,0,0,0,0,0,0,0,0,0
test_laguerre.TestConstants,0,0,0,0,0,0,0,0,0,0,0
test_laguerre.TestDerivative,0,0,0,0,0,0,0,0,0,0,0
test_laguerre.TestEvaluation,0,0,0,0,0,0,0,0,0,0,0
test_laguerre.TestFitting,0,0,0,0,0,0,0,0,0,0,0
test_laguerre.TestGauss,0,0,0,0,0,0,0,0,0,0,0
test_laguerre.TestIntegral,0,0,0,0,0,0,0,0,0,0,0
test_laguerre.TestMisc,0,0,0,0,0,0,0,0,0,0,0
test_laguerre.TestVander,0,0,0,0,0,0,0,0,0,0,0
testArray.Array1TestCase,0,0,0,0,0,0,0,0,0,0,0
testArray.Array2TestCase,0,0,0,0,0,0,0,0,0,0,0
numpy.polynomial._polybase.ABCPolyBase,6,0,6,0,0,0,6,0,0,0,0
numpy.distutils.fcompiler.absoft.AbsoftFCompiler,1,1,0,1,0,1,0,0,0,0,0
numpy.lib.arrayterator.Arrayterator,0,0,0,0,0,0,0,0,0,0,0
numpy.distutils.system_info.AtlasNotFoundError,2,2,0,2,0,1,0,0,0,1,0
