class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
benchmarks.test_functions.Ackley,0,0,0,0,0,0,0,0,0,0,0
benchmarks.special.Airy,1,1,0,1,0,1,0,0,0,0,0
benchmarks.stats.Anderson_KSamp,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse.Arithmetic,1,1,0,1,0,1,0,0,0,0,0
benchmarks.test_functions.AsymmetricQuadratic,0,0,0,0,0,0,0,0,0,0,0
benchmarks.test_functions.Beale,0,0,0,0,0,0,0,0,0,0,0
benchmarks.fftpack_pseudo_diffs.Bench,1,1,0,1,0,1,0,0,0,0,0
benchmarks.linalg.Bench,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse_linalg_lobpcg.Bench,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse_linalg_solve.Bench,1,1,0,1,0,1,0,0,0,0,0
benchmarks.interpolate.BenchPPoly,1,1,0,1,0,1,0,0,0,0,0
benchmarks.optimize.BenchSmoothUnbounded,1,1,0,1,0,1,0,0,0,0,0
benchmarks.common.Benchmark,42,0,42,0,0,0,42,0,0,0,0
benchmarks.sparse_linalg_onenormest.BenchmarkOneNormEst,1,1,0,1,0,1,0,0,0,0,0
benchmarks.test_functions.Booth,0,0,0,0,0,0,0,0,0,0,0
benchmarks.spatial.Build,1,1,0,1,0,1,0,0,0,0,0
benchmarks.signal.CalculateWindowedFFT,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse.Construction,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse.Conversion,1,1,0,1,0,1,0,0,0,0,0
benchmarks.signal.Convolve2D,1,1,0,1,0,1,0,0,0,0,0
benchmarks.stats.CorrelationFunctions,1,1,0,1,0,1,0,0,0,0,0
benchmarks.test_functions.CrossInTray,0,0,0,0,0,0,0,0,0,0,0
benchmarks.stats.Distribution,1,1,0,1,0,1,0,0,0,0,0
benchmarks.test_functions.EggHolder,0,0,0,0,0,0,0,0,0,0,0
benchmarks.special.Erf,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse_linalg_expm.Expm,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse_linalg_expm.ExpmMultiply,1,1,0,1,0,1,0,0,0,0,0
benchmarks.fftpack_basic.Fft,1,1,0,1,0,1,0,0,0,0,0
benchmarks.fftpack_basic.Fftn,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse.Getset,1,1,0,1,0,1,0,0,0,0,0
benchmarks.test_functions.HolderTable,0,0,0,0,0,0,0,0,0,0,0
benchmarks.stats.InferentialStats,1,1,0,1,0,1,0,0,0,0,0
benchmarks.test_functions.LJ,4,0,4,0,0,0,4,0,0,0,0
benchmarks.test_functions.LJ13,1,1,0,1,0,1,0,0,0,0,0
benchmarks.test_functions.LJ20,1,1,0,1,0,1,0,0,0,0,0
benchmarks.test_functions.LJ30,1,1,0,1,0,1,0,0,0,0,0
benchmarks.test_functions.LJ38,1,1,0,1,0,1,0,0,0,0,0
benchmarks.signal.LTI,1,1,0,1,0,1,0,0,0,0,0
benchmarks.interpolate.Leaks,1,1,0,1,0,1,0,0,0,0,0
benchmarks.test_functions.Levi,0,0,0,0,0,0,0,0,0,0,0
benchmarks.sparse.Matmul,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse.Matvec,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse.Matvecs,1,1,0,1,0,1,0,0,0,0,0
benchmarks.io_matlab.MemUsage,1,1,0,1,0,1,0,0,0,0,0
benchmarks.spatial.Neighbors,1,1,0,1,0,1,0,0,0,0,0
benchmarks.linalg.Norm,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse.NullSlice,1,1,0,1,0,1,0,0,0,0,0
benchmarks.spatial.Query,1,1,0,1,0,1,0,0,0,0,0
benchmarks.fftpack_basic.RFft,1,1,0,1,0,1,0,0,0,0,0
benchmarks.spatial.Radius,1,1,0,1,0,1,0,0,0,0,0
benchmarks.test_functions.Schaffer2,0,0,0,0,0,0,0,0,0,0,0
benchmarks.test_functions.Schaffer4,0,0,0,0,0,0,0,0,0,0,0
benchmarks.test_functions.SimpleQuadratic,0,0,0,0,0,0,0,0,0,0,0
benchmarks.linalg_solve_toeplitz.SolveToeplitz,1,1,0,1,0,1,0,0,0,0,0
benchmarks.sparse.Sort,1,1,0,1,0,1,0,0,0,0,0
benchmarks.linalg_sqrtm.Sqrtm,1,1,0,1,0,1,0,0,0,0,0
benchmarks.io_matlab.StructArr,1,1,0,1,0,1,0,0,0,0,0
benchmarks.optimize_zeros.Zeros,1,1,0,1,0,1,0,0,0,0,0
benchmarks.optimize._BenchOptimizers,1,1,0,1,0,1,0,0,0,0,0
test_nonlin.TestJacobianDotSolve,0,0,0,0,0,0,0,0,0,0,0
test_nonlin.TestLinear,0,0,0,0,0,0,0,0,0,0,0
test_nonlin.TestNonlin,0,0,0,0,0,0,0,0,0,0,0
test_nonlin.TestNonlinOldTests,0,0,0,0,0,0,0,0,0,0,0
