class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
sentry.coreapi.APIError,3,0,3,0,0,0,3,0,0,0,0
sentry.coreapi.APIForbidden,1,1,0,1,0,1,0,0,0,0,0
sentry.coreapi.APIRateLimited,1,1,0,1,0,1,0,0,0,0,0
sentry.testutils.cases.APITestCase,1,1,0,1,0,1,0,0,0,0,0
sentry.coreapi.APIUnauthorized,1,1,0,1,0,1,0,0,0,0,0
sentry.web.api.APIView,2,0,2,0,0,0,1,0,0,0,1
sentry.lint.absolute_import_check.AbsoluteImportCheck,0,0,0,0,0,0,0,0,0,0,0
sentry.web.frontend.accept_organization_invite.AcceptInviteForm,0,0,0,0,0,0,0,0,0,0,0
sentry.web.frontend.accept_organization_invite.AcceptOrganizationInviteView,1,1,0,1,0,1,0,0,0,0,0
sentry.auth.access.Access,1,1,0,1,0,1,0,0,0,0,0
sentry.api.endpoints.organization_access_request_details.AccessRequestPermission,1,1,0,1,0,1,0,0,0,0,0
sentry.api.endpoints.organization_access_request_details.AccessRequestSerializer,0,0,0,0,0,0,0,0,0,0,0
sentry.web.forms.accounts.AccountSettingsForm,0,0,0,0,0,0,0,0,0,0,0
sentry.models.activity.Activity,4,1,3,1,0,1,0,0,0,0,3
sentry.api.serializers.models.activity.ActivitySerializer,2,1,1,1,0,1,1,0,0,0,0
sentry.web.forms.add_organization_member.AddOrganizationMemberForm,1,0,1,0,0,0,0,0,0,0,1
sentry.web.forms.add_project.AddProjectForm,1,0,1,0,0,0,1,0,0,0,0
sentry.web.frontend.create_project.AddProjectWithTeamForm,1,1,0,1,0,1,0,0,0,0,0
sentry.web.forms.add_team.AddTeamForm,0,0,0,0,0,0,0,0,0,0,0
sentry.web.frontend.admin_queue.AdminQueueView,1,1,0,1,0,1,0,0,0,0,0
sentry.runner.hacks.AllowedHosts,0,0,0,0,0,0,0,0,0,0,0
sentry.plugins.base.structs.Annotation,0,0,0,0,0,0,0,0,0,0,0
sentry.api.client.ApiClient,1,0,1,0,0,0,0,0,0,0,1
sentry.api.client.ApiError,1,1,0,1,0,0,0,0,0,1,0
sentry.models.apikey.ApiKey,4,1,3,1,0,1,0,0,0,0,3
sentry.api.authentication.ApiKeyAuthentication,1,1,0,1,0,1,0,0,0,0,0
sentry.web.frontend.organization_api_key_settings.ApiKeyForm,1,0,1,0,0,0,0,0,0,0,1
sentry.models.apikey.ApiKeyStatus,0,0,0,0,0,0,0,0,0,0,0
sentry.web.forms.accounts.AppearanceSettingsForm,0,0,0,0,0,0,0,0,0,0,0
sentry.auth.providers.dummy.AskEmail,1,1,0,1,0,1,0,0,0,0,0
sentry.models.auditlogentry.AuditLogEntry,4,1,3,1,0,1,0,0,0,0,3
sentry.admin.AuditLogEntryAdmin,0,0,0,0,0,0,0,0,0,0,0
sentry.models.auditlogentry.AuditLogEntryEvent,0,0,0,0,0,0,0,0,0,0,0
sentry.coreapi.Auth,0,0,0,0,0,0,0,0,0,0,0
sentry.auth.helper.AuthHelper,0,0,0,0,0,0,0,0,0,0,0
sentry.models.authidentity.AuthIdentity,2,1,1,1,0,1,0,0,0,0,1
sentry.admin.AuthIdentityAdmin,0,0,0,0,0,0,0,0,0,0,0
sentry.admin.AuthIdentityInline,0,0,0,0,0,0,0,0,0,0,0
sentry.api.endpoints.auth_index.AuthIndexEndpoint,1,1,0,1,0,1,0,0,0,0,0
sentry.web.frontend.auth_link_identity.AuthLinkIdentityView,1,1,0,1,0,1,0,0,0,0,0
sentry.web.frontend.auth_login.AuthLoginView,1,1,0,1,0,1,0,0,0,0,0
sentry.web.frontend.auth_logout.AuthLogoutView,1,1,0,1,0,1,0,0,0,0,0
sentry.web.frontend.auth_organization_login.AuthOrganizationLoginView,1,1,0,1,0,1,0,0,0,0,0
sentry.models.authprovider.AuthProvider,3,1,2,1,0,1,0,0,0,0,2
sentry.admin.AuthProviderAdmin,0,0,0,0,0,0,0,0,0,0,0
sentry.web.frontend.auth_provider_login.AuthProviderLoginView,1,1,0,1,0,1,0,0,0,0,0
sentry.web.frontend.organization_auth_settings.AuthProviderSettingsForm,0,0,0,0,0,0,0,0,0,0,0
sentry.testutils.cases.AuthProviderTestCase,1,0,1,0,0,0,0,0,0,0,1
sentry.auth.view.AuthView,4,1,3,1,0,1,3,0,0,0,0
sentry.web.forms.accounts.AuthenticationForm,1,1,0,1,0,1,0,0,0,0,0
sentry.middleware.auth.AuthenticationMiddleware,0,0,0,0,0,0,0,0,0,0,0
sentry.digests.backends.base.Backend,2,0,2,0,0,0,2,0,0,0,0
sentry.lang.javascript.processor.BadSource,2,0,2,0,0,0,2,0,0,0,0
sentry.auth.access.BaseAccess,2,0,2,0,0,0,2,0,0,0,0
sentry.cache.base.BaseCache,2,0,2,0,0,0,2,0,0,0,0
sentry.db.models.manager.BaseManager,21,11,10,11,0,0,10,0,0,11,0
sentry.db.models.base.BaseModel,5,0,5,0,0,0,4,0,0,0,1
sentry.plugins.bases.notify.BaseNotificationUserOptionsForm,0,0,0,0,0,0,0,0,0,0,0
sentry.api.paginator.BasePaginator,3,0,3,0,0,0,3,0,0,0,0
sentry.tsdb.base.BaseTSDB,4,0,4,0,0,0,3,0,0,0,1
sentry.testutils.cases.BaseTestCase,2,1,1,1,0,1,1,0,0,0,0
sentry.web.forms.BaseUserForm,2,0,2,0,0,0,2,0,0,0,0
sentry.web.frontend.base.BaseView,15,1,14,1,0,1,14,0,0,0,0
sentry.utils.json.BetterJSONEncoder,0,0,0,0,0,0,0,0,0,0,0
sentry.signals.BetterSignal,0,0,0,0,0,0,0,0,0,0,0
sentry.http.BlacklistAdapter,0,0,0,0,0,0,0,0,0,0,0
sentry.db.models.fields.bounded.BoundedAutoField,2,2,0,2,0,0,0,0,0,2,0
sentry.db.models.fields.bounded.BoundedBigAutoField,1,1,0,1,0,0,0,0,0,1,0
sentry.db.models.fields.bounded.BoundedBigIntegerField,0,0,0,0,0,0,0,0,0,0,0
sentry.db.models.fields.bounded.BoundedIntegerField,2,2,0,2,0,0,0,0,0,2,0
sentry.db.models.fields.bounded.BoundedPositiveIntegerField,20,20,0,20,0,0,0,0,0,20,0
sentry.models.broadcast.Broadcast,1,1,0,1,0,1,0,0,0,0,0
sentry.admin.BroadcastAdmin,0,0,0,0,0,0,0,0,0,0,0
sentry.api.endpoints.broadcast_index.BroadcastIndexEndpoint,1,1,0,1,0,1,0,0,0,0,0
sentry.models.broadcast.BroadcastSeen,2,1,1,1,0,1,0,0,0,0,1
sentry.api.endpoints.broadcast_index.BroadcastSerializer,0,0,0,0,0,0,0,0,0,0,0
sentry.api.serializers.models.broadcast.BroadcastSerializer,1,1,0,1,0,1,0,0,0,0,0
sentry.testutils.middleware.BrokenRequestMiddleware,0,0,0,0,0,0,0,0,0,0,0
