class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
yapf.yapflib.pytree_utils.Annotation,0,0,0,0,0,0,0,0,0,0,0
yapf.yapflib.py3compat.ConfigParser,0,0,0,0,0,0,0,0,0,0,0
yapf.yapflib.format_decision_state.FormatDecisionState,0,0,0,0,0,0,0,0,0,0,0
yapf.yapflib.format_token.FormatToken,0,0,0,0,0,0,0,0,0,0,0
yapf.yapflib.verifier.InternalError,0,0,0,0,0,0,0,0,0,0,0
yapf.yapflib.pytree_visitor.PyTreeDumper,1,1,0,1,0,1,0,0,0,0,0
yapf.yapflib.pytree_unwrapper.PyTreeUnwrapper,2,1,1,1,0,1,0,0,0,0,1
yapf.yapflib.pytree_visitor.PyTreeVisitor,5,0,5,0,0,0,5,0,0,0,0
yapf.yapflib.style.StyleConfigError,1,1,0,1,0,1,0,0,0,0,0
yapf.yapflib.format_token.Subtype,0,0,0,0,0,0,0,0,0,0,0
yapf.yapflib.unwrapped_line.UnwrappedLine,1,1,0,1,0,0,0,0,0,1,0
yapf.yapflib.errors.YapfError,1,0,1,0,0,0,1,0,0,0,0
yapf.yapflib.blank_line_calculator._BlankLineCalculator,1,1,0,1,0,1,0,0,0,0,0
yapf.yapflib.format_decision_state._ParenState,0,0,0,0,0,0,0,0,0,0,0
yapf.yapflib.reformatter._StateNode,0,0,0,0,0,0,0,0,0,0,0
yapf.yapflib.subtype_assigner._SubtypeAssigner,1,1,0,1,0,1,0,0,0,0,0
yapf.yapflib.split_penalty._TreePenaltyAssigner,1,1,0,1,0,1,0,0,0,0,0
yapftests.pytree_utils_test.AnnotationsTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.yapf_test.BadInputTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.reformatter_test.BasicReformatterTest,1,1,0,1,0,1,0,0,0,0,0
yapftests.blank_line_calculator_test.BlankLineCalculatorTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.file_resources_test.BufferedByteStream,0,0,0,0,0,0,0,0,0,0,0
yapftests.reformatter_test.BuganizerFixes,1,1,0,1,0,1,0,0,0,0,0
yapftests.yapf_test.CommandLineTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.comment_splicer_test.CommentSplicerTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.yapf_test.FormatCodeTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.format_decision_state_test.FormatDecisionStateTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.yapf_test.FormatFileTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.format_token_test.FormatTokenTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.file_resources_test.GetCommandLineFilesTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.file_resources_test.GetDefaultStyleForDirTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.pytree_utils_test.InsertNodesBeforeAfterTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.file_resources_test.IsPythonFileTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.line_joiner_test.LineJoinerTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.main_test.MainTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.pytree_unwrapper_test.MatchBracketsTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.pytree_utils_test.NodeNameTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.pytree_utils_test.ParseCodeToTreeTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.style_test.PredefinedStylesByNameTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.pytree_unwrapper_test.PytreeUnwrapperTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.pytree_visitor_test.PytreeVisitorTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.reformatter_test.ReformatterTest,6,0,6,0,0,0,6,0,0,0,0
yapftests.main_test.RunMainTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.split_penalty_test.SplitPenaltyTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.style_test.StyleFromCommandLine,0,0,0,0,0,0,0,0,0,0,0
yapftests.style_test.StyleFromFileTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.style_test.StyleHelp,0,0,0,0,0,0,0,0,0,0,0
yapftests.subtype_assigner_test.SubtypeAssignerTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.reformatter_test.TestVerifyNoVerify,1,1,0,1,0,1,0,0,0,0,0
yapftests.reformatter_test.TestingNotInParameters,0,0,0,0,0,0,0,0,0,0,0
yapftests.reformatter_test.TestsForFBStyle,1,1,0,1,0,1,0,0,0,0,0
yapftests.reformatter_test.TestsForPEP8Style,1,1,0,1,0,1,0,0,0,0,0
yapftests.reformatter_test.TestsForPython3Code,1,1,0,1,0,1,0,0,0,0,0
yapftests.unwrapped_line_test.UnwrappedLineBasicTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.unwrapped_line_test.UnwrappedLineFormattingInformationTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.style_test.UtilsTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.file_resources_test.WriteReformattedCodeTest,0,0,0,0,0,0,0,0,0,0,0
yapftests.pytree_visitor_test._NodeNameCollector,0,0,0,0,0,0,0,0,0,0,0
