class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
youtube_dl.extractor.abc.ABCIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.acast.ACastBaseIE,3,1,2,1,0,1,2,0,0,0,0
youtube_dl.extractor.acast.ACastChannelIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.acast.ACastIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.amp.AMPIE,4,1,3,1,0,1,3,0,0,0,0
youtube_dl.extractor.ard.ARDIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.ard.ARDMediathekIE,3,1,2,1,0,1,2,0,0,0,0
youtube_dl.extractor.atttechchannel.ATTTechChannelIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.abc7news.Abc7NewsIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.academicearth.AcademicEarthCourseIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.addanime.AddAnimeIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.adobetv.AdobeTVBaseIE,3,1,2,1,0,1,2,0,0,0,0
youtube_dl.extractor.adobetv.AdobeTVChannelIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.adobetv.AdobeTVIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.adobetv.AdobeTVPlaylistBaseIE,3,1,2,1,0,1,2,0,0,0,0
youtube_dl.extractor.adobetv.AdobeTVShowIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.adobetv.AdobeTVVideoIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.adultswim.AdultSwimIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.aftonbladet.AftonbladetIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.airmozilla.AirMozillaIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.aljazeera.AlJazeeraIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.allocine.AllocineIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.alphaporno.AlphaPornoIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.animalplanet.AnimalPlanetIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.anitube.AnitubeIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.anysex.AnySexIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.aol.AolIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.aparat.AparatIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.appleconnect.AppleConnectIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.nextmedia.AppleDailyIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.appletrailers.AppleTrailersIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.appletrailers.AppleTrailersSectionIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.archiveorg.ArchiveOrgIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.downloader.external.Aria2cFD,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.arte.ArteTVConcertIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.arte.ArteTVCreativeIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.arte.ArteTVDDCIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.arte.ArteTVEmbedIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.arte.ArteTVFutureIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.arte.ArteTVPlus7IE,6,1,5,1,0,1,5,0,0,0,0
youtube_dl.extractor.arte.ArteTvIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.atresplayer.AtresPlayerIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.audimedia.AudiMediaIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.common.AudioConversionError,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.audiomack.AudiomackAlbumIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.audiomack.AudiomackIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.downloader.external.AxelFD,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.azubu.AzubuIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bbc.BBCCoUkArticleIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bbc.BBCCoUkIE,2,1,1,1,0,1,1,0,0,0,0
youtube_dl.extractor.bbc.BBCIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.br.BRIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.vgtv.BTArticleIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.vgtv.BTVestlendingenIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.byutv.BYUtvIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.baidu.BaiduVideoIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bambuser.BambuserChannelIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bambuser.BambuserIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bandcamp.BandcampAlbumIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bandcamp.BandcampIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.beatportpro.BeatportProIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.beeg.BeegIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.behindkink.BehindKinkIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bet.BetIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bild.BildIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bilibili.BiliBiliIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bleacherreport.BleacherReportCMSIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bleacherreport.BleacherReportIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.blinkx.BlinkxIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bloomberg.BloombergIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.bpb.BpbIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.breakcom.BreakIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.brightcove.BrightcoveLegacyIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.brightcove.BrightcoveNewIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.buzzfeed.BuzzFeedIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.c56.C56IE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cbs.CBSIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cbsnews.CBSNewsIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cbssports.CBSSportsIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.ccc.CCCIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cmt.CMTIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cnet.CNETIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cnn.CNNArticleIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cnn.CNNBlogsIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cnn.CNNIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cspan.CSpanIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.cache.Cache,1,1,0,1,0,0,0,0,0,1,0
youtube_dl.extractor.camdemy.CamdemyFolderIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.camdemy.CamdemyIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.canalc2.Canalc2IE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.canalplus.CanalplusIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.ceskatelevize.CeskaTelevizeIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.channel9.Channel9IE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.chaturbate.ChaturbateIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.chilloutzone.ChilloutzoneIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.chirbit.ChirbitIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.chirbit.ChirbitProfileIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cinchcast.CinchcastIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cinemassacre.CinemassacreIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.clipfish.ClipfishIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cliphunter.CliphunterIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.clipsyndicate.ClipsyndicateIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.novamov.CloudTimeIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.cloudy.CloudyIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.clubic.ClubicIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.clyp.ClypIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.collegehumor.CollegeHumorIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.collegerama.CollegeRamaIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.comcarcoff.ComCarCoffIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.comedycentral.ComedyCentralIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.comedycentral.ComedyCentralShowsIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.commonmistakes.CommonMistakesIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.condenast.CondeNastIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.utils.ContentTooShortError,0,0,0,0,0,0,0,0,0,0,0
youtube_dl.aes.aes_decrypt_text.Counter,0,0,0,0,0,0,0,0,0,0,0
youtube_dl.extractor.cracked.CrackedIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.criterion.CriterionIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.crooksandliars.CrooksAndLiarsIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.crunchyroll.CrunchyrollBaseIE,3,1,2,1,0,1,2,0,0,0,0
youtube_dl.extractor.crunchyroll.CrunchyrollIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.crunchyroll.CrunchyrollShowPlaylistIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.ctsnews.CtsNewsIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.francetv.CultureboxIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.downloader.external.CurlFD,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dbtv.DBTVIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dcn.DCNBaseIE,3,1,2,1,0,1,2,0,0,0,0
youtube_dl.extractor.dcn.DCNIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dcn.DCNLiveIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dcn.DCNSeasonIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dcn.DCNVideoIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dfb.DFBIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dhm.DHMIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dplay.DPlayIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.drbonanza.DRBonanzaIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.drtv.DRTVIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dvtv.DVTVIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dailymotion.DailymotionBaseInfoExtractor,4,1,3,1,0,1,3,0,0,0,0
youtube_dl.extractor.dailymotion.DailymotionCloudIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dailymotion.DailymotionIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dailymotion.DailymotionPlaylistIE,2,1,1,1,0,1,1,0,0,0,0
youtube_dl.extractor.dailymotion.DailymotionUserIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.downloader.dash.DashSegmentsFD,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.utils.DateRange,0,0,0,0,0,0,0,0,0,0,0
youtube_dl.extractor.daum.DaumClipIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.daum.DaumIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dctp.DctpTvIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.deezer.DeezerPlaylistIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.defense.DefenseGouvFrIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.democracynow.DemocracynowIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.discovery.DiscoveryIE,2,1,1,1,0,1,1,0,0,0,0
youtube_dl.extractor.dotsub.DotsubIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.douyutv.DouyuTVIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.utils.DownloadError,0,0,0,0,0,0,0,0,0,0,0
youtube_dl.extractor.drtuber.DrTuberIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dramafever.DramaFeverBaseIE,3,1,2,1,0,1,2,0,0,0,0
youtube_dl.extractor.dramafever.DramaFeverIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dramafever.DramaFeverSeriesIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dreisat.DreiSatIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dropbox.DropboxIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dump.DumpIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.dumpert.DumpertIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.ehow.EHowIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.tnaflix.EMPFlixIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.espn.ESPNIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.eagleplatform.EaglePlatformIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.ebaumsworld.EbaumsWorldIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.echomsk.EchoMskIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.eighttracks.EightTracksIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.einthusan.EinthusanIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.eitb.EitbIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.elpais.ElPaisIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.ellentv.EllenTVClipsIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.ellentv.EllenTVIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.embedthumbnail.EmbedThumbnailPP,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.embedthumbnail.EmbedThumbnailPPError,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.embedly.EmbedlyIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.engadget.EngadgetIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.eporner.EpornerIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.eroprofile.EroProfileIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.escapist.EscapistIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.esri.EsriVideoIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.europa.EuropaIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.everyonesmixtape.EveryonesMixtapeIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.execafterdownload.ExecAfterDownloadPP,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.exfm.ExfmIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.expotv.ExpoTVIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.downloader.external.ExternalFD,6,1,5,1,0,1,5,0,0,0,0
youtube_dl.utils.ExtractorError,2,0,2,0,0,0,2,0,0,0,0
youtube_dl.extractor.extremetube.ExtremeTubeIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.downloader.f4m.F4mFD,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.fc2.FC2IE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.ffmpeg.FFmpegEmbedSubtitlePP,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.ffmpeg.FFmpegExtractAudioPP,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.ffmpeg.FFmpegFixupM4aPP,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.ffmpeg.FFmpegFixupStretchedPP,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.ffmpeg.FFmpegMergerPP,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.ffmpeg.FFmpegMetadataPP,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.ffmpeg.FFmpegPostProcessor,10,1,9,1,0,1,9,0,0,0,0
youtube_dl.postprocessor.ffmpeg.FFmpegPostProcessorError,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.ffmpeg.FFmpegSubtitlesConvertorPP,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.postprocessor.ffmpeg.FFmpegVideoConvertorPP,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.fktv.FKTVIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.fox.FOXIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.facebook.FacebookIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.faz.FazIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.fczenit.FczenitIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.downloader.common.FileDownloader,7,0,7,0,0,0,7,0,0,0,0
youtube_dl.extractor.firsttv.FirstTVIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.firstpost.FirstpostIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.fivemin.FiveMinIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.fivetv.FiveTVIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.flickr.FlickrIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.downloader.f4m.FlvReader,0,0,0,0,0,0,0,0,0,0,0
youtube_dl.extractor.folketinget.FolketingetIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.footyroom.FootyRoomIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.fourtube.FourTubeIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.foxnews.FoxNewsIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.foxsports.FoxSportsIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.foxgay.FoxgayIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.downloader.fragment.FragmentFD,3,1,2,1,0,1,2,0,0,0,0
youtube_dl.extractor.franceculture.FranceCultureEmissionIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.franceculture.FranceCultureIE,2,1,1,1,0,1,1,0,0,0,0
youtube_dl.extractor.franceinter.FranceInterIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.francetv.FranceTVBaseInfoExtractor,5,1,4,1,0,1,4,0,0,0,0
youtube_dl.extractor.francetv.FranceTVIE,1,1,0,1,0,1,0,0,0,0,0
youtube_dl.extractor.francetv.FranceTvInfoIE,1,1,0,1,0,1,0,0,0,0,0
