full_name,label,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles
IPython.core.application.BaseIPythonApplication.__init__,167,2,1,1,1,1,1
IPython.core.application.BaseIPythonApplication._ipython_dir_changed,201,1,0,1,0,0,0
IPython.core.application.BaseIPythonApplication._ipython_dir_default,127,1,1,0,1,0,0
IPython.core.application.BaseIPythonApplication._profile_dir_default,134,1,1,0,1,0,0
IPython.core.application.BaseIPythonApplication.init_config_files,327,2,1,1,1,0,0
IPython.core.application.BaseIPythonApplication.init_crash_handler,181,1,0,1,0,0,0
IPython.core.application.BaseIPythonApplication.init_profile_dir,273,2,0,2,0,0,0
IPython.core.application.BaseIPythonApplication.initialize,367,4,4,0,4,0,0
IPython.core.application.BaseIPythonApplication.load_config_file,226,1,0,1,0,0,0
IPython.core.application.BaseIPythonApplication.stage_default_config_file,357,1,0,1,0,0,0
IPython.core.ultratb.(global),0,3,3,0,3,0,0
IPython.core.ultratb.AutoFormattedTB.__call__,1210,2,2,0,2,0,0
IPython.core.ultratb.AutoFormattedTB.structured_traceback,1234,1,1,0,1,0,0
IPython.core.ultratb.ColorTB.__init__,1249,2,1,1,1,0,0
IPython.core.ultratb.FormattedTB.__init__,1116,3,2,1,2,0,0
IPython.core.ultratb.FormattedTB._extract_tb,1136,1,0,1,0,0,0
IPython.core.ultratb.FormattedTB.context,1188,1,1,0,1,0,0
IPython.core.ultratb.FormattedTB.plain,1185,1,1,0,1,0,0
IPython.core.ultratb.FormattedTB.set_mode,1165,4,0,4,0,0,0
IPython.core.ultratb.FormattedTB.structured_traceback,1142,4,3,1,3,0,0
IPython.core.ultratb.FormattedTB.verbose,1191,1,1,0,1,0,0
IPython.core.ultratb.ListTB.__call__,468,2,1,1,1,0,0
IPython.core.ultratb.ListTB.__init__,464,2,1,1,1,0,0
IPython.core.ultratb.ListTB._format_exception_only,563,2,1,1,1,0,0
IPython.core.ultratb.ListTB._format_list,526,1,0,1,0,0,0
IPython.core.ultratb.ListTB._some_str,660,1,0,1,0,0,0
IPython.core.ultratb.ListTB.get_exception_only,635,2,1,1,1,0,0
IPython.core.ultratb.ListTB.show_exception_only,645,1,1,0,1,0,0
IPython.core.ultratb.ListTB.structured_traceback,473,4,2,2,2,0,0
IPython.core.ultratb.SyntaxTB.__call__,1261,1,1,0,1,0,0
IPython.core.ultratb.SyntaxTB.__init__,1257,1,1,0,1,0,0
IPython.core.ultratb.TBTools.__init__,356,3,1,2,1,0,0
IPython.core.ultratb.TBTools.set_colors,400,3,1,2,1,1,1
IPython.core.ultratb.TBTools.stb2text,422,1,0,1,0,0,0
IPython.core.ultratb.TBTools.structured_traceback,435,1,0,1,0,0,0
IPython.core.ultratb.TBTools.text,426,5,2,3,2,0,0
IPython.core.ultratb.VerboseTB.__call__,1091,2,2,0,2,0,0
IPython.core.ultratb.VerboseTB.__init__,677,3,1,2,1,0,0
IPython.core.ultratb.VerboseTB.debugger,1036,2,0,2,0,0,0
IPython.core.ultratb.VerboseTB.format_exception,906,2,1,1,1,0,0
IPython.core.ultratb.VerboseTB.format_exception_as_a_whole,940,5,4,1,4,0,0
IPython.core.ultratb.VerboseTB.format_records,700,2,1,1,1,0,0
IPython.core.ultratb.VerboseTB.get_parts_of_chained_exception,983,1,0,1,0,0,0
IPython.core.ultratb.VerboseTB.get_records,965,3,2,1,2,0,0
IPython.core.ultratb.VerboseTB.handler,1080,2,1,1,1,0,0
IPython.core.ultratb.VerboseTB.prepare_chained_exception_message,875,1,0,1,0,0,0
IPython.core.ultratb.VerboseTB.prepare_header,885,1,0,1,0,0,0
IPython.core.ultratb.VerboseTB.structured_traceback,995,4,3,1,3,0,0
IPython.core.ultratb._fixed_getinnerframes,264,2,1,1,1,0,0
IPython.core.ultratb._format_traceback_lines,301,1,0,1,0,0,0
IPython.core.ultratb.eggs,1343,1,0,1,0,0,0
IPython.core.ultratb.fix_frame_records_filenames,240,1,0,1,0,0,0
IPython.core.ultratb.foo,1340,2,1,1,1,0,0
IPython.core.ultratb.inspect_error,136,1,0,1,0,0,0
IPython.core.ultratb.spam,1334,2,1,1,1,0,0
IPython.core.ultratb.text_repr,1293,3,1,2,1,1,1
IPython.core.tests.test_magic.CellMagicTestCase.check_ident,669,4,0,4,0,0,0
IPython.core.tests.test_magic.CellMagicTestCase.test_cell_magic_class,693,1,1,0,1,0,0
IPython.core.tests.test_magic.CellMagicTestCase.test_cell_magic_class2,705,1,1,0,1,0,0
IPython.core.tests.test_magic.CellMagicTestCase.test_cell_magic_func_deco,677,1,1,0,1,0,0
IPython.core.tests.test_magic.CellMagicTestCase.test_cell_magic_reg,685,1,1,0,1,0,0
IPython.core.tests.test_magic._run_edit_test,938,2,0,2,0,0,0
IPython.core.tests.test_magic.test_edit_cell,974,1,1,0,1,0,0
IPython.core.tests.test_magic.test_edit_interactive,960,1,1,0,1,0,0
IPython.lib.display.Audio.__init__,85,1,1,0,1,0,0
IPython.lib.display.Audio._make_wav,114,1,0,1,0,0,0
IPython.lib.display.Audio._repr_html_,172,2,2,0,2,0,0
IPython.lib.display.Audio.autoplay_attr,192,1,0,1,0,0,0
IPython.lib.display.Audio.reload,101,2,1,1,1,1,1
IPython.lib.display.Audio.src_attr,181,1,0,1,0,0,0
IPython.lib.display.FileLink._format_path,329,1,0,1,0,0,0
IPython.lib.display.FileLink._repr_html_,335,1,1,0,1,0,0
IPython.lib.display.FileLinks.__init__,364,2,2,0,2,0,0
IPython.lib.display.FileLinks._get_display_formatter,429,2,0,2,0,0,0
