full_name,label,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles
openshift.(global),0,3,3,0,3,0,0
openshift.get_config,59,2,1,1,1,0,0
openshift.get_from_rhc_config,45,1,0,1,0,0,0
openshift.get_json_from_api,69,1,0,1,0,0,0
openshift.passwd_setup,75,1,0,1,0,0,0
hipchat.CallbackModule.playbook_on_play_start,141,1,1,0,1,0,0
hipchat.CallbackModule.playbook_on_stats,172,1,1,0,1,0,0
hipchat.CallbackModule.send_msg,67,2,0,2,0,0,0
TestPlayVarsFiles.FakeCallBacks.__init__,15,1,0,1,0,0,0
TestPlayVarsFiles.FakeInventory.__init__,23,1,0,1,0,0,0
TestPlayVarsFiles.FakePlayBook.__init__,36,13,2,11,2,0,0
TestPlayVarsFiles.TestMe.test_multiple_vars_files,115,1,1,0,1,0,0
TestPlayVarsFiles.TestMe.test_play_constructor,65,1,1,0,1,0,0
TestPlayVarsFiles.TestMe.test_vars_file,72,1,1,0,1,0,0
TestPlayVarsFiles.TestMe.test_vars_file_nonlist_error,92,1,1,0,1,0,0
TestPlayVarsFiles.TestMe.test_vars_files_assert_all_found,198,1,1,0,1,0,0
TestPlayVarsFiles.TestMe.test_vars_files_first_found,145,1,1,0,1,0,0
TestPlayVarsFiles.TestMe.test_vars_files_for_host,244,1,1,0,1,0,0
TestPlayVarsFiles.TestMe.test_vars_files_multiple_found,170,1,1,0,1,0,0
TestPlayVarsFiles.TestMe.test_vars_files_two_vars_different_scope,308,1,1,0,1,0,0
TestPlayVarsFiles.TestMe.test_vars_files_two_vars_different_scope_first_found,351,1,1,0,1,0,0
TestPlayVarsFiles.TestMe.test_vars_files_two_vars_in_name,278,1,1,0,1,0,0
ansible.constants.(global),0,3,3,0,3,0,0
ansible.constants._get_config,53,1,0,1,0,0,0
ansible.constants.get_config,40,3,2,1,2,0,0
ansible.constants.load_config_file,66,1,0,1,0,0,0
ansible.constants.mk_boolean,31,1,0,1,0,0,0
ansible.constants.shell_expand_path,88,1,0,1,0,0,0
ansible.errors.__init__.AnsibleError.__init__,41,66,1,65,1,0,0
ansible.errors.__init__.AnsibleError._get_error_lines_from_file,61,1,0,1,0,0,0
ansible.errors.__init__.AnsibleError._get_extended_error,80,3,2,1,2,0,0
ansible.executor.connection_info.ConnectionInformation.__init__,41,4,2,2,2,0,0
ansible.executor.connection_info.ConnectionInformation.__repr__,70,1,1,0,1,0,0
ansible.executor.connection_info.ConnectionInformation._get_fields,195,3,0,3,0,0,0
ansible.executor.connection_info.ConnectionInformation.copy,135,2,1,1,1,0,0
ansible.executor.connection_info.ConnectionInformation.make_sudo_cmd,169,2,0,2,0,0,0
ansible.executor.connection_info.ConnectionInformation.post_validate,198,3,3,0,3,0,0
ansible.executor.connection_info.ConnectionInformation.set_options,101,2,1,1,1,0,0
ansible.executor.connection_info.ConnectionInformation.set_play,78,1,0,1,0,0,0
ansible.executor.connection_info.ConnectionInformation.set_task_override,152,3,2,1,2,0,0
ansible.executor.module_common._find_snippet_imports,58,3,2,1,2,0,0
ansible.executor.module_common._slurp,50,2,1,1,1,0,0
ansible.executor.module_common.modify_module,116,2,1,1,1,0,0
ansible.executor.play_iterator.HostState.__init__,30,2,0,2,0,0,0
ansible.executor.play_iterator.HostState.copy,57,1,1,0,1,0,0
ansible.executor.play_iterator.PlayIterator.__init__,86,2,1,1,1,0,0
ansible.executor.play_iterator.PlayIterator.add_tasks,225,2,1,1,1,0,0
ansible.executor.play_iterator.PlayIterator.get_host_state,101,5,1,4,1,0,0
ansible.executor.play_iterator.PlayIterator.get_next_task_for_host,107,8,5,3,5,0,0
ansible.executor.play_iterator.PlayIterator.get_original_task,202,2,1,1,1,0,0
ansible.executor.play_iterator.PlayIterator.mark_host_failed,183,3,1,2,1,0,0
ansible.executor.playbook_executor.PlaybookExecutor.__init__,38,1,1,0,1,0,0
ansible.executor.playbook_executor.PlaybookExecutor._cleanup,95,1,0,1,0,0,0
ansible.executor.playbook_executor.PlaybookExecutor._get_serialized_batches,98,1,0,1,0,0,0
ansible.executor.playbook_executor.PlaybookExecutor.run,47,7,6,1,6,1,1
ansible.executor.process.result.ResultProcess.__init__,50,1,0,1,0,0,0
ansible.executor.process.result.ResultProcess._read_worker_result,65,2,1,1,1,0,0
ansible.executor.process.result.ResultProcess._send_result,60,2,1,1,1,0,0
ansible.executor.process.result.ResultProcess.run,92,5,5,0,5,0,0
ansible.executor.process.worker.WorkerProcess.__init__,54,1,0,1,0,0,0
ansible.executor.process.worker.WorkerProcess.run,82,5,5,0,5,0,0
ansible.executor.task_executor.TaskExecutor.__init__,46,1,0,1,0,0,0
ansible.executor.task_executor.TaskExecutor._compute_delegate,368,1,0,1,0,0,0
ansible.executor.task_executor.TaskExecutor._execute,161,9,7,2,7,0,3
ansible.executor.task_executor.TaskExecutor._get_action_handler,340,2,1,1,1,0,0
ansible.executor.task_executor.TaskExecutor._get_connection,313,3,2,1,2,0,0
ansible.executor.task_executor.TaskExecutor._get_loop_items,93,2,1,1,1,0,0
ansible.executor.task_executor.TaskExecutor._poll_async_result,271,2,1,1,1,0,0
ansible.executor.task_executor.TaskExecutor._run_loop,106,3,2,1,2,0,3
ansible.executor.task_executor.TaskExecutor._squash_items,145,1,0,1,0,0,0
ansible.executor.task_executor.TaskExecutor.run,54,5,4,1,4,0,3
ansible.executor.task_queue_manager.TaskQueueManager.__init__,50,3,2,1,2,0,0
ansible.executor.task_queue_manager.TaskQueueManager._initialize_notified_handlers,103,1,0,1,0,0,0
ansible.executor.task_queue_manager.TaskQueueManager.cleanup,159,2,2,0,2,0,0
ansible.executor.task_queue_manager.TaskQueueManager.get_callback,175,1,0,1,0,0,0
ansible.executor.task_queue_manager.TaskQueueManager.get_inventory,172,1,0,1,0,0,0
ansible.executor.task_queue_manager.TaskQueueManager.get_notified_handlers,196,1,0,1,0,0,0
ansible.executor.task_queue_manager.TaskQueueManager.get_workers,199,1,0,1,0,0,0
ansible.executor.task_queue_manager.TaskQueueManager.run,124,5,5,0,5,0,0
ansible.executor.task_queue_manager.TaskQueueManager.terminate,202,1,0,1,0,0,0
ansible.executor.task_result.TaskResult.__init__,31,2,1,1,1,0,0
ansible.executor.task_result.TaskResult._check_key,54,4,0,4,0,0,0
ansible.executor.task_result.TaskResult.is_changed,39,1,1,0,1,0,0
ansible.executor.task_result.TaskResult.is_failed,45,2,1,1,1,0,0
ansible.executor.task_result.TaskResult.is_skipped,42,2,1,1,1,0,0
ansible.executor.task_result.TaskResult.is_unreachable,51,2,1,1,1,0,0
ansible.inventory.__init__.Inventory.__get_hosts,254,4,3,1,3,0,0
ansible.inventory.__init__.Inventory.__init__,47,12,12,0,12,0,0
ansible.inventory.__init__.Inventory._apply_ranges,296,2,1,1,1,0,0
ansible.inventory.__init__.Inventory._create_implicit_localhost,328,9,7,2,7,0,0
ansible.inventory.__init__.Inventory._enumeration_info,269,2,0,2,0,0,0
ansible.inventory.__init__.Inventory._get_group_variables,430,4,3,1,3,0,0
ansible.inventory.__init__.Inventory._get_host,406,3,2,1,2,0,0
ansible.inventory.__init__.Inventory._get_host_variables,464,5,4,1,4,0,2
