full_name,label,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles
admin_changelist.admin.CustomPaginator.__init__,14,2,1,1,1,1,1
admin_changelist.admin.DynamicListDisplayChildAdmin.get_list_display,79,6,1,5,1,1,1
admin_changelist.admin.DynamicListDisplayLinksChildAdmin.get_list_display_links,91,4,0,4,0,0,0
admin_changelist.admin.DynamicListFilterChildAdmin.get_list_filter,113,2,1,1,1,1,1
admin_changelist.admin.DynamicSearchFieldsChildAdmin.get_search_fields,124,2,1,1,1,1,1
admin_changelist.tests.ChangeListTests._create_superuser,38,8,0,8,0,0,0
admin_changelist.tests.ChangeListTests._mocked_authenticated_request,41,8,0,8,0,0,0
admin_changelist.tests.ChangeListTests.test_deterministic_order_for_model_ordered_by_its_manager,537,2,2,0,2,0,0
admin_changelist.tests.ChangeListTests.test_deterministic_order_for_unordered_model,492,2,2,0,2,0,0
admin_changelist.tests.ChangeListTests.test_dynamic_list_display,375,4,4,0,4,0,0
admin_changelist.tests.ChangeListTests.test_dynamic_list_display_links,445,4,4,0,4,0,0
admin_changelist.tests.ChangeListTests.test_dynamic_list_filter,582,2,2,0,2,0,0
admin_changelist.tests.ChangeListTests.test_dynamic_search_fields,605,2,2,0,2,0,0
admin_changelist.tests.ChangeListTests.test_no_list_display_links,466,2,2,0,2,0,0
admin_changelist.tests.ChangeListTests.test_result_list_empty_changelist_value,80,2,2,0,2,0,0
admin_changelist.tests.ChangeListTests.test_result_list_html,102,2,2,0,2,0,0
admin_changelist.tests.ChangeListTests.test_tuple_list_display,476,2,2,0,2,0,0
fixtures_regress.tests.(global),0,1,1,0,1,0,0
fixtures_regress.tests.TestFixtures.test_relative_path,173,1,0,1,0,0,0
fixtures_regress.tests.TestFixtures.test_relative_path_in_fixture_dirs,188,1,1,0,1,0,0
fixtures_regress.tests.is_ascii,39,1,0,1,0,0,0
forms_tests.tests.test_error_messages.AssertFormErrorsMixin.assertFormErrors,19,24,0,24,0,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_booleanfield,163,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_charfield,28,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_choicefield,170,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_datefield,86,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_datetimefield,104,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_decimalfield,65,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_emailfield,126,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_filefield,139,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_floatfield,52,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_generic_ipaddressfield,210,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_integerfield,39,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_ipaddressfield,201,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_multiplechoicefield,179,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_regexfield,113,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_splitdatetimefield,190,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_timefield,95,1,1,0,1,0,0
forms_tests.tests.test_error_messages.FormsErrorMessagesTestCase.test_urlfield,152,1,1,0,1,0,0
forms_tests.tests.test_error_messages.ModelChoiceFieldErrorMessagesTestCase.test_modelchoicefield,250,1,1,0,1,0,0
forms_tests.tests.test_extra.FormsExtraTestCase.test_generic_ipaddress_as_generic,511,1,1,0,1,0,0
forms_tests.tests.test_extra.FormsExtraTestCase.test_generic_ipaddress_as_generic_not_required,559,1,1,0,1,0,0
forms_tests.tests.test_extra.FormsExtraTestCase.test_generic_ipaddress_as_ipv4_only,530,1,1,0,1,0,0
forms_tests.tests.test_extra.FormsExtraTestCase.test_generic_ipaddress_as_ipv6_only,542,1,1,0,1,0,0
forms_tests.tests.test_extra.FormsExtraTestCase.test_ipaddress,488,1,1,0,1,0,0
forms_tests.tests.test_extra.FormsExtraTestCase.test_multiwidget,390,2,2,0,2,0,0
forms_tests.tests.test_fields.FieldsTests.assertWidgetRendersTo,72,17,0,17,0,0,0
forms_tests.tests.test_fields.FieldsTests.test_cooperative_multiple_inheritance,81,1,1,0,1,0,0
forms_tests.tests.test_fields.FieldsTests.test_decimalfield_1,328,1,1,0,1,0,0
forms_tests.tests.test_fields.FieldsTests.test_decimalfield_3,374,1,1,0,1,0,0
