full_name,label,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles
nltk.app.chartparser_app.(global),0,1,1,0,1,0,0
nltk.app.chartparser_app.ChartComparer.__init__,494,6,6,0,6,0,0
nltk.app.chartparser_app.ChartComparer._apply_op,682,5,3,2,3,0,0
nltk.app.chartparser_app.ChartComparer._checkcompat,801,4,1,3,1,0,0
nltk.app.chartparser_app.ChartComparer._clear_out_chart,826,1,1,0,1,0,0
nltk.app.chartparser_app.ChartComparer._detatch_out,832,1,1,0,1,0,0
nltk.app.chartparser_app.ChartComparer._difference,765,3,2,1,2,0,0
nltk.app.chartparser_app.ChartComparer._init_bindings,659,1,0,1,0,0,0
nltk.app.chartparser_app.ChartComparer._init_buttons,643,1,0,1,0,0,0
nltk.app.chartparser_app.ChartComparer._init_chartviews,583,3,2,1,2,0,0
nltk.app.chartparser_app.ChartComparer._init_divider,579,1,0,1,0,0,0
nltk.app.chartparser_app.ChartComparer._init_menubar,546,1,0,1,0,0,0
nltk.app.chartparser_app.ChartComparer._intersection,775,3,2,1,2,0,0
nltk.app.chartparser_app.ChartComparer._select_left,668,2,2,0,2,0,0
nltk.app.chartparser_app.ChartComparer._select_right,675,2,2,0,2,0,0
nltk.app.chartparser_app.ChartComparer._union,785,3,2,1,2,0,0
nltk.app.chartparser_app.ChartComparer._update,817,3,0,3,0,0,0
nltk.app.chartparser_app.ChartComparer.destroy,532,2,1,1,1,1,1
nltk.app.chartparser_app.ChartComparer.load_chart,716,2,0,2,0,0,0
nltk.app.chartparser_app.ChartComparer.load_chart_dialog,706,1,1,0,1,0,0
nltk.app.chartparser_app.ChartComparer.mainloop,538,2,1,1,1,1,1
nltk.app.chartparser_app.ChartComparer.select_cell,756,2,1,1,1,1,1
nltk.app.chartparser_app.ChartMatrixView.__init__,101,8,5,3,5,0,0
nltk.app.chartparser_app.ChartMatrixView._click_cell,242,3,2,1,2,0,0
nltk.app.chartparser_app.ChartMatrixView._fire_callbacks,218,2,0,2,0,0,0
nltk.app.chartparser_app.ChartMatrixView._init_list,145,4,3,1,3,0,0
nltk.app.chartparser_app.ChartMatrixView._init_matrix,134,2,1,1,1,0,0
nltk.app.chartparser_app.ChartMatrixView._init_numedges,141,2,1,1,1,0,0
nltk.app.chartparser_app.ChartMatrixView._init_quit,130,1,0,1,0,0,0
nltk.app.chartparser_app.ChartMatrixView.activate,201,1,1,0,1,0,0
nltk.app.chartparser_app.ChartMatrixView.add_callback,209,1,0,1,0,0,0
nltk.app.chartparser_app.ChartMatrixView.deselect_cell,236,4,1,3,1,0,0
nltk.app.chartparser_app.ChartMatrixView.destroy,152,2,1,1,1,1,1
nltk.app.chartparser_app.ChartMatrixView.draw,266,4,2,2,2,0,0
nltk.app.chartparser_app.ChartMatrixView.inactivate,205,6,1,5,1,0,0
nltk.app.chartparser_app.ChartMatrixView.mark_edge,252,1,1,0,1,0,0
nltk.app.chartparser_app.ChartMatrixView.markonly_edge,261,1,1,0,1,0,0
nltk.app.chartparser_app.ChartMatrixView.pack,316,5,1,4,1,1,1
nltk.app.chartparser_app.ChartMatrixView.select_cell,222,6,2,4,2,0,0
nltk.app.chartparser_app.ChartMatrixView.set_chart,158,1,1,0,1,0,0
nltk.app.chartparser_app.ChartMatrixView.update,164,5,0,5,0,0,0
nltk.app.chartparser_app.ChartMatrixView.view_edge,248,1,1,0,1,0,0
nltk.app.chartparser_app.ChartParserApp.__init__,1626,10,9,1,9,0,0
nltk.app.chartparser_app.ChartParserApp._animate_strategy,2171,2,1,1,1,0,0
nltk.app.chartparser_app.ChartParserApp._apply_strategy,2183,3,1,2,1,0,0
nltk.app.chartparser_app.ChartParserApp._click_cv_edge,1924,2,2,0,2,0,0
nltk.app.chartparser_app.ChartParserApp._deselect_edge,1947,1,1,0,1,0,0
nltk.app.chartparser_app.ChartParserApp._display_rule,2190,3,1,2,1,0,0
nltk.app.chartparser_app.ChartParserApp._init_animation,1716,1,0,1,0,0,0
nltk.app.chartparser_app.ChartParserApp._init_bindings,1792,1,0,1,0,0,0
nltk.app.chartparser_app.ChartParserApp._init_buttons,1747,1,0,1,0,0,0
nltk.app.chartparser_app.ChartParserApp._init_chartview,1728,2,1,1,1,0,0
nltk.app.chartparser_app.ChartParserApp._init_fonts,1702,1,0,1,0,0,0
nltk.app.chartparser_app.ChartParserApp._init_menubar,1821,1,0,1,0,0,0
nltk.app.chartparser_app.ChartParserApp._init_parser,1682,2,1,1,1,0,0
nltk.app.chartparser_app.ChartParserApp._init_rulelabel,1733,1,0,1,0,0,0
nltk.app.chartparser_app.ChartParserApp._reset_parser,1687,3,1,2,1,0,0
nltk.app.chartparser_app.ChartParserApp._select_edge,1938,3,1,2,1,0,0
nltk.app.chartparser_app.ChartParserApp._select_matrix_edge,1934,1,1,0,1,0,0
nltk.app.chartparser_app.ChartParserApp._show_new_edge,1955,3,2,1,2,0,0
nltk.app.chartparser_app.ChartParserApp.apply_strategy,2131,11,3,8,3,0,0
nltk.app.chartparser_app.ChartParserApp.bottom_up,2219,1,1,0,1,0,0
nltk.app.chartparser_app.ChartParserApp.bottom_up_leftcorner,2221,1,1,0,1,0,0
