full_name,label,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles
numpy.core.setup_common.check_api_version,74,1,1,0,1,0,0
numpy.core.setup_common.check_long_double_representation,170,2,2,0,2,0,0
numpy.core.setup_common.get_api_versions,55,1,0,1,0,0,0
numpy.core.setup_common.long_double_representation,271,1,0,1,0,0,0
numpy.core.setup_common.pyod,200,1,0,1,0,0,0
numpy.distutils.fcompiler.__init__.(global),0,1,1,0,1,0,0
numpy.distutils.fcompiler.__init__.FCompiler.__copy__,236,2,1,1,1,0,2
numpy.distutils.fcompiler.__init__.FCompiler.__init__,222,1,1,0,1,0,0
numpy.distutils.fcompiler.__init__.FCompiler._compile,562,3,3,0,3,0,0
numpy.distutils.fcompiler.__init__.FCompiler._get_command_flags,382,6,0,6,0,0,0
numpy.distutils.fcompiler.__init__.FCompiler.copy,245,3,1,2,1,0,2
numpy.distutils.fcompiler.__init__.FCompiler.customize,441,7,5,2,5,0,0
numpy.distutils.fcompiler.__init__.FCompiler.dump_properties,542,1,0,1,0,0,0
numpy.distutils.fcompiler.__init__.FCompiler.find_executables,288,3,2,1,2,0,0
numpy.distutils.fcompiler.__init__.FCompiler.get_flags_ar,406,1,1,0,1,0,0
numpy.distutils.fcompiler.__init__.FCompiler.get_flags_f77,388,1,1,0,1,0,0
numpy.distutils.fcompiler.__init__.FCompiler.get_flags_f90,391,1,1,0,1,0,0
numpy.distutils.fcompiler.__init__.FCompiler.get_flags_fix,397,1,1,0,1,0,0
numpy.distutils.fcompiler.__init__.FCompiler.get_flags_linker_exe,403,1,1,0,1,0,0
numpy.distutils.fcompiler.__init__.FCompiler.get_flags_linker_so,400,1,1,0,1,0,0
numpy.distutils.fcompiler.__init__.FCompiler.get_libraries,423,1,0,1,0,0,0
numpy.distutils.fcompiler.__init__.FCompiler.get_library_dirs,426,1,0,1,0,0,0
numpy.distutils.fcompiler.__init__.FCompiler.get_version,430,2,0,2,0,0,0
numpy.distutils.fcompiler.__init__.FCompiler.set_command,273,4,1,3,1,0,0
numpy.distutils.fcompiler.__init__.FCompiler.set_commands,269,2,1,1,1,0,0
numpy.distutils.fcompiler.__init__.FCompiler.set_executable,266,1,1,0,1,0,0
numpy.distutils.fcompiler.__init__.FCompiler.update_executables,367,1,0,1,0,0,0
numpy.distutils.fcompiler.__init__._find_existing_fcompiler,754,4,3,1,3,0,3
numpy.distutils.fcompiler.__init__.available_fcompilers_for_platform,791,2,0,2,0,0,0
numpy.distutils.fcompiler.__init__.get_default_fcompiler,806,3,2,1,2,0,3
numpy.distutils.fcompiler.__init__.get_f77flags,966,1,0,1,0,0,0
numpy.distutils.fcompiler.__init__.has_f90_header,959,1,0,1,0,0,0
numpy.distutils.fcompiler.__init__.is_free_format,935,1,0,1,0,0,0
numpy.distutils.fcompiler.__init__.is_sequence_of_strings,62,2,0,2,0,0,0
numpy.distutils.fcompiler.__init__.load_all_fcompiler_classes,726,2,0,2,0,0,0
numpy.distutils.fcompiler.__init__.new_fcompiler,822,4,2,2,2,0,3
numpy.distutils.fcompiler.__init__.show_fcompilers,861,7,6,1,6,0,0
util.F2PyTest.setUp,317,5,5,0,5,0,0
util._get_compiler_status,172,3,0,3,0,0,0
util.build_code,148,2,1,1,1,0,0
util.build_module,90,4,2,2,2,0,0
util.build_module_distutils,237,2,2,0,2,0,0
util.get_module_dir,49,3,0,3,0,0,0
util.get_temp_module_name,58,3,1,2,1,0,0
util.has_c_compiler,223,2,1,1,1,0,0
util.has_f77_compiler,226,2,1,1,1,0,0
util.has_f90_compiler,229,2,1,1,1,0,0
test_function_base.TestDelete._check_inverse_of_slicing,453,3,0,3,0,0,0
test_function_base.TestDelete.test_fancy,475,1,1,0,1,0,0
test_function_base.TestDelete.test_single,490,1,1,0,1,0,0
test_function_base.TestDelete.test_slices,466,1,1,0,1,0,0
test_function_base.TestSelect._select,162,1,0,1,0,0,0
test_function_base.TestSelect.test_basic,168,1,1,0,1,0,0
test_io.RoundtripTest.check_roundtrips,110,5,1,4,1,0,0
test_io.RoundtripTest.roundtrip,63,5,0,5,0,0,0
test_io.RoundtripTest.test_1D,145,1,1,0,1,0,0
test_io.RoundtripTest.test_array,120,1,1,0,1,0,0
test_io.RoundtripTest.test_array_object,136,1,1,0,1,0,0
test_io.RoundtripTest.test_format_2_0,161,1,1,0,1,0,0
test_io.RoundtripTest.test_mmap,150,1,1,0,1,0,0
test_io.RoundtripTest.test_record,157,1,1,0,1,0,0
test_io.TestFromTxt.test_1D,856,1,1,0,1,0,0
test_io.TestFromTxt.test_array,844,1,1,0,1,0,0
test_io.TestFromTxt.test_auto_dtype,939,1,1,0,1,0,0
