full_name,label,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles
pyspider.database.__init__.connect_database,14,3,0,3,0,0,0
pyspider.database.base.projectdb.ProjectDB.split_group,55,5,0,5,0,0,0
pyspider.database.base.projectdb.ProjectDB.verify_project_name,58,4,0,4,0,0,0
pyspider.database.base.taskdb.TaskDB.status_to_string,89,1,0,1,0,0,0
pyspider.database.basedb.(global),0,7,7,0,7,0,0
pyspider.database.basedb.BaseDB._delete,117,6,3,3,3,0,0
pyspider.database.basedb.BaseDB._execute,34,21,0,21,0,0,0
pyspider.database.basedb.BaseDB._insert,91,8,3,5,3,0,0
pyspider.database.basedb.BaseDB._replace,75,6,3,3,3,0,0
pyspider.database.basedb.BaseDB._select,39,5,3,2,3,0,0
pyspider.database.basedb.BaseDB._select2dic,54,18,3,15,3,0,0
pyspider.database.basedb.BaseDB._update,107,8,3,5,3,0,0
pyspider.database.basedb.BaseDB.escape,27,18,0,18,0,0,0
pyspider.database.basedb.DB.__init__,132,1,0,1,0,0,0
pyspider.database.local.projectdb.ProjectDB.__init__,19,2,1,1,1,0,0
pyspider.database.local.projectdb.ProjectDB._build_project,30,1,0,1,0,0,0
pyspider.database.local.projectdb.ProjectDB.check_update,76,1,1,0,1,0,0
pyspider.database.local.projectdb.ProjectDB.get,64,2,0,2,0,0,0
pyspider.database.local.projectdb.ProjectDB.get_all,60,1,1,0,1,0,0
pyspider.database.mongodb.mongodbbase.SplitTableMixin._collection_name,14,10,0,10,0,0,0
pyspider.database.mongodb.mongodbbase.SplitTableMixin._list_project,31,39,0,39,0,0,0
pyspider.database.mongodb.mongodbbase.SplitTableMixin.drop,44,4,3,1,3,1,1
pyspider.database.mongodb.mongodbbase.SplitTableMixin.projects,21,1,1,0,1,0,0
pyspider.database.mongodb.projectdb.ProjectDB._default_fields,24,3,0,3,0,0,0
pyspider.database.mongodb.projectdb.ProjectDB.check_update,60,3,3,0,3,0,0
pyspider.database.mongodb.projectdb.ProjectDB.get,54,2,1,1,1,0,0
pyspider.database.mongodb.projectdb.ProjectDB.get_all,48,2,1,1,1,0,0
pyspider.database.mongodb.projectdb.ProjectDB.insert,36,1,1,0,1,0,0
pyspider.database.mongodb.projectdb.ProjectDB.update,42,3,1,2,1,1,1
pyspider.database.mongodb.resultdb.ResultDB.__init__,18,1,1,0,1,0,0
pyspider.database.mongodb.resultdb.ResultDB._parse,25,2,0,2,0,0,0
pyspider.database.mongodb.resultdb.ResultDB._stringify,31,1,0,1,0,0,0
pyspider.database.mongodb.resultdb.ResultDB.count,57,4,3,1,3,1,1
pyspider.database.mongodb.resultdb.ResultDB.get,65,3,3,0,3,0,0
pyspider.database.mongodb.resultdb.ResultDB.save,36,2,2,0,2,0,0
pyspider.database.mongodb.resultdb.ResultDB.select,48,3,3,0,3,0,0
pyspider.database.mongodb.taskdb.TaskDB.__init__,19,2,2,0,2,0,0
pyspider.database.mongodb.taskdb.TaskDB._parse,29,2,0,2,0,0,0
pyspider.database.mongodb.taskdb.TaskDB._stringify,42,1,0,1,0,0,0
pyspider.database.mongodb.taskdb.TaskDB.get_task,62,3,3,0,3,0,0
pyspider.database.mongodb.taskdb.TaskDB.insert,94,1,1,0,1,0,0
pyspider.database.mongodb.taskdb.TaskDB.load_tasks,48,3,3,0,3,0,0
pyspider.database.mongodb.taskdb.TaskDB.status_count,73,2,2,0,2,0,0
pyspider.database.mongodb.taskdb.TaskDB.update,101,5,3,2,3,1,1
pyspider.database.mysql.mysqlbase.SplitTableMixin._list_project,46,3,1,2,1,0,0
pyspider.database.mysql.mysqlbase.SplitTableMixin._tablename,29,34,0,34,0,0,0
pyspider.database.mysql.mysqlbase.SplitTableMixin.drop,58,4,4,0,4,0,0
pyspider.database.mysql.mysqlbase.SplitTableMixin.projects,36,1,1,0,1,0,0
pyspider.database.mysql.projectdb.ProjectDB.__init__,19,2,2,0,2,0,0
pyspider.database.mysql.projectdb.ProjectDB.check_update,65,1,1,0,1,0,0
pyspider.database.mysql.projectdb.ProjectDB.drop,61,1,1,0,1,0,0
pyspider.database.mysql.projectdb.ProjectDB.get,55,1,1,0,1,0,0
pyspider.database.mysql.projectdb.ProjectDB.get_all,52,1,1,0,1,0,0
pyspider.database.mysql.projectdb.ProjectDB.insert,39,1,1,0,1,0,0
pyspider.database.mysql.projectdb.ProjectDB.update,45,1,1,0,1,0,0
pyspider.database.mysql.resultdb.ResultDB.__init__,23,3,3,0,3,0,0
pyspider.database.mysql.resultdb.ResultDB._create_project,33,4,3,1,3,0,0
pyspider.database.mysql.resultdb.ResultDB._parse,45,2,0,2,0,0,0
pyspider.database.mysql.resultdb.ResultDB._stringify,53,1,0,1,0,0,0
pyspider.database.mysql.resultdb.ResultDB.count,82,4,4,0,4,0,0
pyspider.database.mysql.resultdb.ResultDB.get,91,4,4,0,4,0,0
pyspider.database.mysql.resultdb.ResultDB.save,58,5,5,0,5,0,0
