full_name,label,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles
_test_multiprocessing.(global),0,2,2,0,2,0,0
_test_multiprocessing.AppendTrue.__init__,1189,1,0,1,0,0,0
_test_multiprocessing.BaseTestCase.assertReturnsIfImplemented,158,6,2,4,2,0,0
_test_multiprocessing.BaseTestCase.assertTimingAlmostEqual,154,10,1,9,1,0,0
_test_multiprocessing.Bunch.__init__,1147,2,1,1,1,0,0
_test_multiprocessing.Bunch.wait_for_finished,1180,1,1,0,1,0,0
_test_multiprocessing.Bunch.wait_for_started,1176,1,1,0,1,0,0
_test_multiprocessing.FooBar._h,2001,1,0,1,0,0,0
_test_multiprocessing.ManagerMixin.Pool,3803,14,1,13,1,1,1
_test_multiprocessing.OtherTest.test_answer_challenge_auth_failure,3101,1,1,0,1,0,0
_test_multiprocessing.OtherTest.test_deliver_challenge_auth_failure,3091,1,1,0,1,0,0
_test_multiprocessing.TestCloseFds.close,3549,1,0,1,0,0,0
_test_multiprocessing.TestCloseFds.get_high_socket_fd,3531,1,0,1,0,0,0
_test_multiprocessing.TestCloseFds.test_closefd,3565,2,2,0,2,0,0
_test_multiprocessing.TestFlags.test_flags,3433,1,1,0,1,0,0
_test_multiprocessing.TestIgnoreEINTR._test_ignore_listener,3631,1,1,0,1,0,0
_test_multiprocessing.TestIgnoreEINTR.test_ignore,3608,1,1,0,1,0,0
_test_multiprocessing.TestIgnoreEINTR.test_ignore_listener,3641,1,1,0,1,0,0
_test_multiprocessing.TestInitializers.test_manager_initializer,3135,2,2,0,2,0,0
_test_multiprocessing.TestInitializers.test_pool_initializer,3143,3,3,0,3,0,0
_test_multiprocessing.TestInvalidFamily.test_invalid_family,3402,1,1,0,1,0,0
_test_multiprocessing.TestInvalidFamily.test_invalid_family_win32,3407,1,1,0,1,0,0
_test_multiprocessing.TestInvalidHandle.test_invalid_handles,3073,2,2,0,2,0,0
_test_multiprocessing.TestNoForkBomb.test_noforkbomb,3482,3,3,0,3,0,0
_test_multiprocessing.TestSemaphoreTracker.test_semaphore_tracker,3723,1,1,0,1,0,0
_test_multiprocessing.TestStartMethod.check_context,3664,3,1,2,1,0,0
_test_multiprocessing.TestStartMethod.test_context,3674,3,3,0,3,0,0
_test_multiprocessing.TestStartMethod.test_get_all,3708,1,1,0,1,0,0
_test_multiprocessing.TestStartMethod.test_set_get,3686,2,2,0,2,0,0
_test_multiprocessing.TestStdinBadfiledescriptor.test_flushing,3211,4,4,0,4,0,0
_test_multiprocessing.TestTimeouts.test_timeout,3457,2,2,0,2,0,0
_test_multiprocessing.TestWait._child_test_wait_socket,3261,1,1,0,1,0,0
_test_multiprocessing.TestWait.test_neg_timeout,3384,1,1,0,1,0,0
_test_multiprocessing.TestWait.test_wait,3230,3,2,1,2,0,0
_test_multiprocessing.TestWait.test_wait_integer,3341,1,1,0,1,0,0
_test_multiprocessing.TestWait.test_wait_slow,3307,1,1,0,1,0,0
_test_multiprocessing.TestWait.test_wait_socket,3270,7,6,1,6,0,0
_test_multiprocessing.TestWait.test_wait_socket_slow,3310,1,1,0,1,0,0
_test_multiprocessing.TestWait.test_wait_timeout,3313,1,1,0,1,0,0
_test_multiprocessing.TimingWrapper.__call__,139,1,1,0,1,0,0
_test_multiprocessing.TimingWrapper.__init__,135,10,0,10,0,0,0
_test_multiprocessing._DummyList.__getstate__,1127,4,0,4,0,0,0
_test_multiprocessing._DummyList.__init__,1117,2,1,1,1,0,0
_test_multiprocessing._DummyList.__setstate__,1123,6,0,6,0,0,0
_test_multiprocessing._TestArray.f,1518,1,0,1,0,0,0
_test_multiprocessing._TestArray.test_array,1523,3,2,1,2,0,0
_test_multiprocessing._TestArray.test_array_from_size,1548,1,1,0,1,0,0
_test_multiprocessing._TestArray.test_getobj_getlock_obj,1567,2,2,0,2,0,0
_test_multiprocessing._TestArray.test_rawarray,1563,1,1,0,1,0,0
_test_multiprocessing._TestBarrier.DummyList,1209,9,1,8,1,0,0
_test_multiprocessing._TestBarrier.run_threads,1217,10,2,8,2,0,0
_test_multiprocessing._TestBarrier.test_abort,1294,3,3,0,3,0,0
_test_multiprocessing._TestBarrier.test_abort_and_reset,1359,3,3,0,3,0,0
_test_multiprocessing._TestBarrier.test_action,1272,4,4,0,4,0,0
_test_multiprocessing._TestBarrier.test_barrier,1239,3,2,1,2,0,0
_test_multiprocessing._TestBarrier.test_barrier_10,1246,1,1,0,1,0,0
_test_multiprocessing._TestBarrier.test_default_timeout,1404,3,3,0,3,0,0
_test_multiprocessing._TestBarrier.test_reset,1324,3,3,0,3,0,0
_test_multiprocessing._TestBarrier.test_thousand,1425,2,2,0,2,0,0
_test_multiprocessing._TestBarrier.test_timeout,1385,3,3,0,3,0,0
_test_multiprocessing._TestBarrier.test_wait_return,1257,3,3,0,3,0,0
_test_multiprocessing._TestCondition.check_invariant,838,3,1,2,1,0,0
_test_multiprocessing._TestCondition.test_notify,849,2,2,0,2,0,0
_test_multiprocessing._TestCondition.test_notify_all,892,3,3,0,3,0,0
_test_multiprocessing._TestCondition.test_timeout,957,3,3,0,3,0,0
_test_multiprocessing._TestCondition.test_wait_result,1044,1,1,0,1,0,0
_test_multiprocessing._TestCondition.test_waitfor,976,1,1,0,1,0,0
_test_multiprocessing._TestConnection._is_fd_assigned,2345,2,0,2,0,0,0
_test_multiprocessing._TestConnection._writefd,2356,1,1,0,1,0,0
_test_multiprocessing._TestConnection.test_connection,2199,6,6,0,6,0,0
_test_multiprocessing._TestConnection.test_context,2438,2,2,0,2,0,0
_test_multiprocessing._TestConnection.test_duplex_false,2278,2,2,0,2,0,0
_test_multiprocessing._TestConnection.test_fd_transfer,2368,2,2,0,2,0,0
_test_multiprocessing._TestConnection.test_large_fd_transfer,2393,4,4,0,4,0,0
_test_multiprocessing._TestConnection.test_missing_fd_transfer,2425,1,1,0,1,0,0
_test_multiprocessing._TestConnection.test_sendbytes,2312,4,4,0,4,0,0
_test_multiprocessing._TestConnection.test_spawn_close,2291,2,2,0,2,0,0
_test_multiprocessing._TestContainers.test_dict,1631,3,3,0,3,0,0
_test_multiprocessing._TestContainers.test_list,1600,1,1,0,1,0,0
_test_multiprocessing._TestContainers.test_namespace,1641,1,1,0,1,0,0
_test_multiprocessing._TestEvent.test_event,1072,3,3,0,3,0,0
_test_multiprocessing._TestFinalize.test_finalize,2911,1,1,0,1,0,0
_test_multiprocessing._TestHeap.test_free_from_gc,2783,1,1,0,1,0,0
_test_multiprocessing._TestHeap.test_heap,2744,2,2,0,2,0,0
_test_multiprocessing._TestImportStar.get_module_names,2928,1,0,1,0,0,0
_test_multiprocessing._TestImportStar.test_import,2939,1,1,0,1,0,0
_test_multiprocessing._TestListener.test_context,2465,3,3,0,3,0,0
_test_multiprocessing._TestListener.test_multiple_bind,2458,2,2,0,2,0,0
_test_multiprocessing._TestListenerClient.test_issue14725,2496,2,2,0,2,0,0
_test_multiprocessing._TestListenerClient.test_issue16955,2512,2,2,0,2,0,0
_test_multiprocessing._TestListenerClient.test_listener_client,2485,2,2,0,2,0,0
_test_multiprocessing._TestLock.test_lock,752,2,2,0,2,0,0
_test_multiprocessing._TestLock.test_rlock,759,2,2,0,2,0,0
_test_multiprocessing._TestLogging.test_enable_logging,2973,1,1,0,1,0,0
_test_multiprocessing._TestLogging.test_level,2986,1,1,0,1,0,0
_test_multiprocessing._TestManagerRestart.test_rapid_restart,2151,1,1,0,1,0,0
_test_multiprocessing._TestMyManager.common,2050,7,4,3,4,0,0
_test_multiprocessing._TestMyManager.test_mymanager,2027,2,2,0,2,0,0
_test_multiprocessing._TestMyManager.test_mymanager_context,2038,2,2,0,2,0,0
_test_multiprocessing._TestMyManager.test_mymanager_context_prestarted,2043,2,2,0,2,0,0
_test_multiprocessing._TestPicklingConnections._listener,2616,2,2,0,2,0,0
_test_multiprocessing._TestPicklingConnections.test_access,2709,1,1,0,1,0,0
_test_multiprocessing._TestPicklingConnections.test_pickling,2651,3,3,0,3,0,0
_test_multiprocessing._TestPoll._child_boundaries,2557,1,1,0,1,0,0
_test_multiprocessing._TestPoll.test_dont_merge,2582,2,2,0,2,0,0
_test_multiprocessing._TestPoll.test_empty_string,2527,2,2,0,2,0,0
_test_multiprocessing._TestPoll.test_strings,2541,2,2,0,2,0,0
_test_multiprocessing._TestPollEintr.test_poll_eintr,3046,1,1,0,1,0,0
_test_multiprocessing._TestPool.setUpClass,1674,1,1,0,1,0,0
_test_multiprocessing._TestPool.test_apply,1685,2,2,0,2,0,0
_test_multiprocessing._TestPool.test_async,1743,3,3,0,3,0,0
_test_multiprocessing._TestPool.test_async_timeout,1749,3,3,0,3,0,0
_test_multiprocessing._TestPool.test_context,1850,4,4,0,4,0,0
_test_multiprocessing._TestPool.test_empty_iterable,1838,2,2,0,2,0,0
_test_multiprocessing._TestPool.test_imap,1755,2,2,0,2,0,0
_test_multiprocessing._TestPool.test_imap_handle_iterable_exception,1769,4,4,0,4,0,0
_test_multiprocessing._TestPool.test_imap_unordered,1788,1,1,0,1,0,0
_test_multiprocessing._TestPool.test_imap_unordered_handle_iterable_exception,1795,3,3,0,3,0,0
_test_multiprocessing._TestPool.test_make_pool,1820,3,3,0,3,0,0
_test_multiprocessing._TestPool.test_map,1690,1,1,0,1,0,0
_test_multiprocessing._TestPool.test_map_async,1710,1,1,0,1,0,0
_test_multiprocessing._TestPool.test_map_async_callbacks,1714,1,1,0,1,0,0
_test_multiprocessing._TestPool.test_map_chunksize,1737,1,1,0,1,0,0
_test_multiprocessing._TestPool.test_map_unplicklable,1727,3,3,0,3,0,0
_test_multiprocessing._TestPool.test_starmap,1696,1,1,0,1,0,0
_test_multiprocessing._TestPool.test_starmap_async,1705,1,1,0,1,0,0
_test_multiprocessing._TestPool.test_terminate,1829,1,1,0,1,0,0
_test_multiprocessing._TestPool.test_traceback,1863,4,4,0,4,0,0
_test_multiprocessing._TestPool.test_wrapped_exception,1892,2,2,0,2,0,0
_test_multiprocessing._TestPoolWorkerErrors.test_async_error_callback,1908,2,2,0,2,0,0
_test_multiprocessing._TestPoolWorkerErrors.test_unpickleable_result,1923,2,2,0,2,0,0
_test_multiprocessing._TestPoolWorkerLifetime.test_pool_worker_lifetime,1948,3,3,0,3,0,0
_test_multiprocessing._TestPoolWorkerLifetime.test_pool_worker_lifetime_early_close,1977,3,3,0,3,0,0
_test_multiprocessing._TestProcess._test_recursion,350,1,0,1,0,0,0
_test_multiprocessing._TestProcess.test_active_children,336,1,1,0,1,0,0
_test_multiprocessing._TestProcess.test_current,197,2,2,0,2,0,0
_test_multiprocessing._TestProcess.test_daemon_argument,211,2,2,0,2,0,0
_test_multiprocessing._TestProcess.test_process,233,1,1,0,1,0,0
_test_multiprocessing._TestProcess.test_recursion,360,3,3,0,3,0,0
_test_multiprocessing._TestProcess.test_sentinel,384,4,4,0,4,0,0
_test_multiprocessing._TestProcess.test_terminate,276,4,4,0,4,0,0
_test_multiprocessing._TestQueue.test_fork,647,2,2,0,2,0,0
_test_multiprocessing._TestQueue.test_get,587,5,5,0,5,0,0
_test_multiprocessing._TestQueue.test_no_import_lock_contention,716,2,2,0,2,0,0
_test_multiprocessing._TestQueue.test_put,519,6,6,0,6,0,0
_test_multiprocessing._TestQueue.test_qsize,674,1,1,0,1,0,0
_test_multiprocessing._TestQueue.test_timeout,737,1,1,0,1,0,0
_test_multiprocessing._TestRemoteManager.test_remote,2113,2,2,0,2,0,0
_test_multiprocessing._TestSemaphore._test_semaphore,776,4,2,2,2,0,0
_test_multiprocessing._TestSemaphore.test_bounded_semaphore,797,1,1,0,1,0,0
_test_multiprocessing._TestSemaphore.test_semaphore,789,3,3,0,3,0,0
_test_multiprocessing._TestSemaphore.test_timeout,805,4,4,0,4,0,0
_test_multiprocessing._TestSharedCTypes.test_copy,2857,2,2,0,2,0,0
_test_multiprocessing._TestSharedCTypes.test_sharedctypes,2833,4,3,1,3,0,0
_test_multiprocessing._TestSharedCTypes.test_synchronize,2854,1,1,0,1,0,0
_test_multiprocessing._TestSubclassingProcess.test_stderr_flush,439,2,2,0,2,0,0
_test_multiprocessing._TestSubclassingProcess.test_subclassing,430,4,4,0,4,0,0
_test_multiprocessing._TestSubclassingProcess.test_sys_exit,467,3,3,0,3,0,0
_test_multiprocessing._TestValue.test_getobj_getlock,1487,2,2,0,2,0,0
_test_multiprocessing._TestValue.test_rawvalue,1484,1,1,0,1,0,0
_test_multiprocessing._TestValue.test_value,1465,2,1,1,1,0,0
_test_multiprocessing._UpperCaser.__init__,406,1,0,1,0,0,0
_test_multiprocessing._UpperCaser.stop,421,1,0,1,0,0,0
_test_multiprocessing._UpperCaser.submit,416,22,0,22,0,0,0
_test_multiprocessing._file_like.__init__,3178,1,0,1,0,0,0
_test_multiprocessing._file_like.flush,3194,2,1,1,1,0,0
_test_multiprocessing._file_like.write,3191,2,0,2,0,0,0
_test_multiprocessing._wait,1138,2,0,2,0,0,0
