full_name,label,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles
benchmarks.optimize.BenchSmoothUnbounded.run_LJ,228,2,2,0,2,0,0
benchmarks.optimize.BenchSmoothUnbounded.run_asymmetric_quadratic,192,2,2,0,2,0,0
benchmarks.optimize.BenchSmoothUnbounded.run_beale,219,2,2,0,2,0,0
benchmarks.optimize.BenchSmoothUnbounded.run_booth,210,2,2,0,2,0,0
benchmarks.optimize.BenchSmoothUnbounded.run_rosenbrock,168,2,2,0,2,0,0
benchmarks.optimize.BenchSmoothUnbounded.run_rosenbrock_tight,175,2,2,0,2,0,0
benchmarks.optimize.BenchSmoothUnbounded.run_simple_quadratic,183,2,2,0,2,0,0
benchmarks.optimize.BenchSmoothUnbounded.run_sin_1d,201,2,2,0,2,0,0
benchmarks.optimize.BenchSmoothUnbounded.setup,153,1,1,0,1,0,0
benchmarks.optimize._BenchOptimizers.__init__,32,8,0,8,0,0,0
benchmarks.optimize._BenchOptimizers.add_result,47,1,0,1,0,0,0
benchmarks.optimize._BenchOptimizers.average_results,74,2,0,2,0,0,0
benchmarks.optimize._BenchOptimizers.bench_run,97,9,1,8,1,0,0
benchmarks.optimize._BenchOptimizers.print_results,57,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.base_economic_p_row_xxx,213,5,2,3,2,0,0
test_decomp_update.BaseQRdelete.base_non_simple_strides,357,18,2,16,2,0,0
test_decomp_update.BaseQRdelete.base_overwrite_qr,470,8,2,6,2,0,0
test_decomp_update.BaseQRdelete.test_1xN_1_col,263,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_1xN_p_col,270,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_Mx1_1_row,248,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_Mx1_economic_1_row,279,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_Mx1_economic_p_row,286,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_Mx1_p_row,255,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_bad_k,538,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_bad_p,545,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_bad_which,534,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_check_finite,593,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_delete_1x1_row_col,338,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_delete_last_1_col,312,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_delete_last_1_row,294,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_delete_last_p_col,325,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_delete_last_p_row,301,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_economic_1_col,232,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_economic_1_row,201,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_economic_p_col,239,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_economic_p_row_economic,220,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_economic_p_row_fat,228,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_economic_p_row_sqr,224,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_empty_q,559,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_empty_r,564,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_fat_1_col,185,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_fat_1_row,170,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_fat_p_col,192,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_fat_p_row,177,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_mismatched_q_and_r,569,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_neg_k,460,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_neg_strides_1_col,430,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_neg_strides_1_row,424,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_neg_strides_p_col,433,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_neg_strides_p_row,427,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_itemize_strides_1_col,442,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_itemize_strides_1_row,436,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_itemize_strides_p_col,445,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_itemize_strides_p_row,439,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_native_byte_order_1_col,454,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_native_byte_order_1_row,448,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_native_byte_order_p_col,457,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_native_byte_order_p_row,451,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_unit_strides_1_col,418,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_unit_strides_1_row,412,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_unit_strides_p_col,421,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_non_unit_strides_p_row,415,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_overwrite_economic_qr_1_row,512,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_overwrite_economic_qr_p_row,525,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_overwrite_qr_1_col,516,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_overwrite_qr_1_row,508,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_overwrite_qr_p_col,529,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_overwrite_qr_p_row,521,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_qr_scalar,610,1,1,0,1,0,0
test_decomp_update.BaseQRdelete.test_sqr_1_col,123,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_sqr_1_row,108,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_sqr_p_col,130,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_sqr_p_row,115,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_tall_1_col,154,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_tall_1_row,139,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_tall_p_col,161,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_tall_p_row,146,2,2,0,2,0,0
test_decomp_update.BaseQRdelete.test_unsupported_dtypes,574,1,1,0,1,0,0
test_decomp_update.BaseQRdeltas.generate,95,39,0,39,0,0,0
test_decomp_update.BaseQRinsert.base_economic_p_col_xxx,810,5,2,3,2,0,0
test_decomp_update.BaseQRinsert.base_fat_p_row_xxx,742,5,2,3,2,0,0
test_decomp_update.BaseQRinsert.base_non_simple_strides,951,18,2,16,2,0,0
test_decomp_update.BaseQRinsert.base_tall_p_col_xxx,712,5,2,3,2,0,0
test_decomp_update.BaseQRinsert.generate,630,40,0,40,0,0,0
test_decomp_update.BaseQRinsert.test_1x1_1_col,927,2,2,0,2,0,0
test_decomp_update.BaseQRinsert.test_1x1_1_row,913,2,2,0,2,0,0
test_decomp_update.BaseQRinsert.test_1x1_1_scalar,941,1,1,0,1,0,0
