full_name,label,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles
sentry.__init__.(global),0,1,1,0,1,0,0
sentry.__init__._get_git_revision,20,2,1,1,1,0,0
sentry.__init__.get_revision,31,2,1,1,1,0,0
sentry.__main__.(global),0,1,1,0,1,0,0
sentry.admin.TeamAdmin.save_model,143,2,1,1,1,1,1
sentry.admin.UserAdmin.add_view,223,2,1,1,1,1,1
sentry.admin.UserAdmin.get_fieldsets,189,2,1,1,1,1,1
sentry.admin.UserAdmin.get_urls,207,2,1,1,1,1,1
sentry.admin.UserAdmin.lookup_allowed,214,2,1,1,1,1,1
sentry.admin.UserAdmin.response_add,290,2,1,1,1,1,1
sentry.api.base.Endpoint.add_cors_headers,154,3,2,1,2,0,0
sentry.api.base.Endpoint.build_cursor_link,57,5,3,2,3,0,0
sentry.api.base.Endpoint.convert_args,76,1,0,1,0,0,0
sentry.api.base.Endpoint.create_audit_entry,97,17,0,17,0,0,0
sentry.api.base.Endpoint.dispatch,109,3,3,0,3,0,0
sentry.api.base.Endpoint.finalize_response,145,4,2,2,2,1,1
sentry.api.base.Endpoint.handle_exception,79,4,2,2,2,1,1
sentry.api.base.Endpoint.paginate,169,5,4,1,4,0,0
sentry.api.base.StatsMixin._parse_args,200,7,1,6,1,0,0
sentry.api.base.StatsMixin._parse_resolution,225,1,0,1,0,0,0
sentry.api.bases.organization.OrganizationPermission.has_object_permission,18,2,2,0,2,0,0
sentry.api.bases.organizationissues.OrganizationIssuesEndpoint._on_results,58,2,1,1,1,0,0
sentry.api.bases.organizationissues.OrganizationIssuesEndpoint.get,19,3,3,0,3,0,0
sentry.api.bases.organizationissues.OrganizationIssuesEndpoint.get_queryset,15,1,0,1,0,0,0
sentry.api.bases.organizationmember.OrganizationMemberEndpoint._get_member,26,1,0,1,0,0,0
sentry.api.bases.organizationmember.OrganizationMemberEndpoint.convert_args,12,1,1,0,1,0,0
sentry.api.bases.project.ProjectPermission.has_object_permission,18,2,2,0,2,0,0
sentry.api.bases.team.TeamPermission.has_object_permission,18,3,3,0,3,0,0
sentry.api.client.ApiClient.delete,99,1,1,0,1,0,0
sentry.api.client.ApiClient.get,90,1,1,0,1,0,0
sentry.api.client.ApiClient.post,93,1,1,0,1,0,0
sentry.api.client.ApiClient.put,96,1,1,0,1,0,0
sentry.api.client.ApiClient.request,31,4,0,4,0,0,0
