Kind,function_name,lineno,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles,MLOC,PAR,DOC,smell
Function,tornado.autoreload.main,259,3,2,1,2,0,0,39.0,1.0,0.0,no
Function,tornado.httputil._parse_header,849,4,3,1,3,0,0,14.0,1.0,0.0,no
Function,tornado.netutil.ssl_options_to_context,459,3,1,2,1,0,0,18.0,1.0,0.0,no
Function,tornado.web.RequestHandler.write,673,48,2,46,2,0,0,12.0,2.0,0.0,no
Function,tornado.websocket.WebSocketProtocol13.write_message,677,2,2,0,2,0,0,11.0,2.0,0.0,no
Function,tornado.test.gen_test.GenCoroutineSequenceHandler.get,940,2,2,0,2,0,0,11.0,1.0,0.0,no
Function,tornado.test.iostream_test.TestIOStreamMixin.test_read_callback_error,256,3,3,0,3,0,0,11.0,1.0,0.0,no
Function,tornado.test.process_test.SubprocessTest.test_subprocess,139,5,5,0,5,0,0,19.0,1.0,0.0,no
Function,tornado.test.web_test.CookieTest.get_handlers,181,1,1,0,1,0,0,16.0,1.0,0.0,no
Function,benchmarks.optimize._BenchOptimizers.bench_run,97,9,1,8,1,0,0,35.0,3.0,0.0,no
Function,test_pseudo_diffs.TestDiff.test_zero_nyquist,184,1,1,0,1,0,0,9.0,1.0,0.0,no
Function,scipy.interpolate.interpolate.PPoly.roots,909,7,2,5,2,0,0,14.0,1.0,0.0,no
Function,scipy.io.netcdf.netcdf_file.close,265,7,2,5,2,1,1,14.0,1.0,0.0,no
Function,scipy.io.matlab.mio.mat_reader_factory,41,7,4,3,4,0,0,10.0,2.0,0.0,no
Function,scipy.linalg.special_matrices.invpascal,854,4,3,1,3,0,0,24.0,1.0,0.0,no
Function,test_decomp_update.BaseQRdelete.base_non_simple_strides,357,18,2,16,2,0,0,42.0,6.0,0.0,no
Function,scipy.ndimage.fourier._get_output_fourier_complex,62,1,0,1,0,0,0,14.0,2.0,0.0,no
Function,scipy.optimize.linesearch._quadmin,453,1,0,1,0,0,0,12.0,5.0,0.0,no
Function,scipy.optimize._differentialevolution.DifferentialEvolutionSolver.init_population_lhs,387,1,0,1,0,0,0,11.0,1.0,0.0,no
Function,scipy.signal.filter_design._zpklp2bs,1749,3,2,1,2,0,0,17.0,3.0,0.0,no
Function,scipy.signal.signaltools.decimate,2560,3,3,0,3,0,0,14.0,2.0,0.0,no
Function,scipy.sparse.compressed._cs_matrix._set_many,697,5,4,1,4,0,0,29.0,4.0,2.0,no
Function,scipy.sparse.lil.lil_matrix.set_shape,129,1,1,0,1,0,0,16.0,2.0,0.0,no
Function,test_arpack.test_real_nonsymmetric_modes,436,1,1,0,1,0,0,11.0,1.0,0.0,no
Function,test_base._TestCommon.test_elementwise_multiply_broadcast,1096,1,1,0,1,0,0,41.0,1.0,0.0,no
Function,test_base._TestMinMax.test_minmax_axis,2869,1,1,0,1,0,0,43.0,1.0,0.0,no
Function,test_kdtree.test_small.setUp,103,3,0,3,0,0,0,15.0,1.0,0.0,no
Function,convert.parse_ipp_file,138,2,1,1,1,0,0,29.0,1.0,0.0,no
Function,scipy.stats.mstats_basic.mannwhitneyu,772,3,3,0,3,0,0,20.0,2.0,0.0,no
Function,scipy.stats.stats.trimboth,2274,3,0,3,0,0,0,12.0,2.0,0.0,no
Function,scipy.stats._distn_infrastructure.rv_generic._construct_argparser,658,3,1,2,1,0,0,40.0,4.0,0.0,no
Function,scipy.weave.ast_tools.match,163,17,1,16,1,1,1,14.0,2.0,0.0,no
Function,scipy.weave.c_spec.common_base_converter.init_info,80,7,0,7,0,0,0,17.0,1.0,0.0,no
Function,fibonacci.recurse_compare,105,2,1,1,1,0,0,13.0,1.0,0.0,no
Function,test_c_spec.DictConverter.test_var_in,593,1,1,0,1,0,0,22.0,1.0,0.0,no
Function,ansible.callbacks.get_cowsay_info,53,1,0,1,0,0,0,19.0,1.0,0.0,no
Function,ansible.module_utils.basic.get_distribution,180,3,0,3,0,0,0,12.0,1.0,0.0,no
Function,ansible.module_utils.facts.FreeBSDHardware.get_cpu_facts,1141,3,2,1,2,0,0,12.0,1.0,0.0,no
Function,ansible.playbook.play.Play._load_role_defaults,400,1,0,1,0,0,0,9.0,2.0,0.0,no
Function,ansible.runner.connection_plugins.winrm.Connection.put_file,167,3,3,0,3,0,0,24.0,3.0,0.0,no
Function,ansible.utils.template.template,109,14,2,12,2,1,1,29.0,3.0,0.0,no
Function,openshift.get_from_rhc_config,45,1,0,1,0,0,0,11.0,1.0,0.0,no
Function,TestPlayVarsFiles.TestMe.test_multiple_vars_files,115,1,1,0,1,0,0,19.0,1.0,0.0,no
Function,ansible.executor.module_common._find_snippet_imports,58,3,2,1,2,0,0,40.0,3.0,0.0,no
Function,ansible.module_utils.basic.load_platform_subclass,212,2,2,0,2,0,0,14.0,3.0,0.0,no
Function,ansible.module_utils.facts.FreeBSDHardware.get_dmi_facts,1207,3,2,1,2,0,0,21.0,1.0,0.0,no
Function,ansible.parsing.mod_args.ModuleArgsParser._normalize_old_style_args,148,2,1,1,1,0,0,9.0,3.0,0.0,no
Function,ansible.plugins.connections.local.Connection.exec_command,42,3,3,0,3,0,0,24.0,3.0,0.0,no
Function,boto.regioninfo.get_regions,101,48,3,45,3,0,0,14.0,1.0,0.0,no
Function,boto.beanstalk.layer1.Layer1.swap_environment_cnames,874,1,1,0,1,0,0,10.0,1.0,0.0,no
Function,boto.cloudfront.invalidation.InvalidationBatch.endElement,92,1,1,0,1,0,0,11.0,4.0,0.0,no
