Kind,function_name,lineno,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles,MLOC,PAR,DOC,smell
Function,tornado.auth._oauth_signature,1022,6,3,3,3,0,0,13.0,3.0,0.0,no
Function,tornado.httpclient._RequestProxy.__init__,616,7,0,7,0,0,0,2.0,3.0,0.0,no
Function,tornado.stack_context.StackContext.exit,122,1,0,1,0,0,0,2.0,4.0,0.0,no
Function,tornado.testing.AsyncTestCase._handle_exception,243,1,1,0,1,0,0,6.0,4.0,0.0,no
Function,tornado.web.RequestHandler.reverse_url,1296,4,1,3,1,1,1,1.0,3.0,0.0,no
Function,tornado.web.create_signed_value,2981,14,4,10,4,0,0,26.0,3.0,0.0,no
Function,tornado.test.tcpclient_test.TCPClientTest.do_test_connect,84,9,2,7,2,0,0,7.0,3.0,0.0,no
Function,scipy.integrate.quadrature.romberg,589,8,4,4,4,0,0,28.0,3.0,0.0,no
Function,scipy.interpolate.fitpack2.InterpolatedUnivariateSpline.__init__,583,1,1,0,1,0,0,11.0,3.0,0.0,no
Function,scipy.interpolate.interpolate._find_smoothest,1941,2,1,1,1,0,0,19.0,3.0,0.0,no
Function,scipy.interpolate.rbf.Rbf.__init__,185,12,3,9,3,0,0,19.0,3.0,0.0,no
Function,scipy.io.arff.arffread.print_attribute,671,2,1,1,1,0,0,10.0,3.0,0.0,no
Function,scipy.linalg.interpolative.reconstruct_skel_matrix,667,1,1,0,1,0,0,3.0,3.0,0.0,no
Function,scipy.optimize.linesearch._quadmin,453,1,0,1,0,0,0,12.0,5.0,0.0,yes
Function,scipy.optimize.optimize.check_grad,621,5,5,0,5,0,0,6.0,5.0,0.0,yes
Function,scipy.optimize._linprog._pivot_row,173,2,1,1,1,0,0,9.0,3.0,0.0,no
Function,scipy.signal.fir_filter_design.firwin2,311,9,2,7,2,0,0,48.0,3.0,0.0,no
Function,scipy.sparse.csr.csr_matrix._get_submatrix,383,5,1,4,1,0,0,12.0,3.0,2.0,no
Function,scipy.spatial._plotutils._held_figure,10,1,1,0,1,0,0,10.0,3.0,0.0,no
Function,test_basic.TestBessel.iv_series,2450,3,0,3,0,0,0,6.0,3.0,0.0,no
Function,scipy.stats._continuous_distns.genextreme_gen._munp,1775,2,2,0,2,0,0,5.0,3.0,0.0,no
Function,scipy.stats._continuous_distns.gennorm_gen._sf,4474,1,1,0,1,0,0,1.0,3.0,0.0,no
Function,scipy.stats._distn_infrastructure.rv_generic.std,1196,1,1,0,1,0,0,3.0,3.0,0.0,no
Function,scipy.stats._multivariate.wishart_gen._mode,1327,1,0,1,0,0,0,4.0,4.0,0.0,no
Function,scipy.weave.c_spec.common_base_converter.type_spec,136,1,1,0,1,0,0,4.0,3.0,0.0,no
Function,ansible.callbacks.PlaybookCallbacks.on_notify,602,2,1,1,1,0,0,0.0,3.0,0.0,no
