Kind,function_name,lineno,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles,MLOC,PAR,DOC,smell
Function,tornado.auth._auth_return_future,116,5,5,0,5,0,0,27.0,1.0,3.0,no
Function,tornado.concurrent.run_on_executor,348,7,3,4,3,0,0,36.0,2.0,3.0,no
Function,tornado.concurrent.return_future,389,7,7,0,7,0,0,84.0,1.0,3.0,no
Function,tornado.gen.engine,125,3,3,0,3,0,0,33.0,1.0,3.0,no
Function,tornado.testing.gen_test,442,7,3,4,3,0,0,80.0,0.0,3.0,no
Function,tornado.test.gen_test.GenEngineTest.test_arguments,443,2,2,0,2,0,0,28.0,1.0,3.0,no
Function,scipy.signal.bsplines._bspline_piecefunctions,49,3,2,1,2,0,0,66.0,1.0,3.0,no
Function,test_base._TestCommon.test_binary_ufunc_overrides,1597,2,2,0,2,0,0,118.0,1.0,3.0,yes
Function,scipy.stats.morestats.boxcox_normmax,834,6,5,1,5,0,3,104.0,2.0,3.0,no
Function,boto.fps.connection.complex_amounts,42,2,2,0,2,0,0,13.0,1.0,3.0,no
Function,boto.fps.connection.requires,57,2,2,0,2,0,0,17.0,1.0,3.0,no
Function,boto.fps.connection.api_action,86,2,2,0,2,0,0,15.0,1.0,3.0,no
Function,boto.mws.connection.structured_lists,70,2,2,0,2,0,0,16.0,1.0,3.0,no
Function,boto.mws.connection.http_body,88,2,2,0,2,0,0,19.0,1.0,3.0,no
Function,boto.mws.connection.structured_objects,131,3,3,0,3,0,0,14.0,2.0,3.0,no
Function,boto.mws.connection.requires,147,2,2,0,2,0,0,6.0,2.0,3.0,no
Function,boto.mws.connection.exclusive,166,2,2,0,2,0,0,17.0,1.0,3.0,no
Function,boto.mws.connection.dependent,185,2,2,0,2,0,0,18.0,2.0,3.0,no
Function,boto.mws.connection.requires_some_of,205,2,2,0,2,0,0,14.0,1.0,3.0,no
Function,boto.mws.connection.boolean_arguments,221,2,2,0,2,0,0,12.0,1.0,3.0,no
Function,boto.mws.connection.api_action,235,1,1,0,1,0,0,26.0,4.0,3.0,no
Function,tests.unit.route53.test_connection.TestRoute53Connection.do_retry_handler,80,2,0,2,0,0,0,23.0,2.0,3.0,no
Function,IPython.core.tests.test_oinspect.test_find_file_decorated1,71,3,3,0,3,0,0,14.0,1.0,3.0,no
Function,IPython.external.decorators._decorators.knownfailureif,175,2,0,2,0,0,0,51.0,1.0,3.0,no
Function,IPython.external.decorators._decorators.deprecated,227,3,3,0,3,0,0,55.0,0.0,3.0,no
Function,IPython.testing.decorators.skipif,173,3,0,3,0,0,0,71.0,1.0,3.0,no
Function,numpy.core.setup.configuration,396,35,35,0,35,0,0,617.0,0.0,3.0,yes
Function,numpy.testing.decorators.skipif,90,3,0,3,0,0,0,75.0,1.0,3.0,no
Function,numpy.testing.decorators.knownfailureif,167,2,0,2,0,0,0,52.0,1.0,3.0,no
Function,numpy.testing.decorators.deprecated,220,1,0,1,0,0,0,52.0,0.0,3.0,no
Function,nltk.internals.deprecated,322,1,1,0,1,0,0,30.0,1.0,3.0,no
Function,matplotlib.cbook.deprecated,140,2,1,1,1,0,0,105.0,1.0,3.0,no
Function,matplotlib.mlab.csv2rec,2781,2,2,0,2,0,0,267.0,2.0,3.0,yes
Function,matplotlib.mlab.rec2csv,3315,3,3,0,3,0,0,70.0,3.0,3.0,no
Function,matplotlib.type1font.Type1Font._transformer,255,2,1,1,1,0,0,63.0,4.0,3.0,no
Function,matplotlib._cm.cubehelix,59,1,0,1,0,0,0,60.0,0.0,3.0,no
Function,matplotlib.backends.backend_pdf.PdfFile.embedTTF,795,13,12,1,12,0,0,311.0,3.0,3.0,yes
Function,matplotlib.testing.decorators.knownfailureif,29,2,0,2,0,0,0,38.0,1.0,3.0,no
Function,matplotlib.tests.test_delaunay.make_all_2d_testfuncs,174,3,2,1,2,0,0,27.0,0.0,3.0,no
Function,matplotlib.tests.test_mathtext.make_set,144,2,1,1,1,0,0,19.0,3.0,3.0,no
Function,django.contrib.admin.options.ModelAdmin.get_urls,611,3,2,1,2,0,0,18.0,1.0,3.0,no
Function,django.contrib.admin.sites.AdminSite.get_urls,242,5,4,1,4,0,0,46.0,1.0,3.0,no
Function,django.contrib.auth.decorators.user_passes_test,11,9,6,3,6,0,0,26.0,1.0,3.0,no
Function,django.db.models.manager.BaseManager._get_queryset_methods,124,2,1,1,1,0,0,22.0,2.0,3.0,no
Function,django.test.utils.override_system_checks,283,1,1,0,1,0,0,22.0,1.0,3.0,no
Function,django.utils.deconstruct.deconstructible,9,1,1,0,1,0,0,52.0,2.0,3.0,no
Function,django.views.decorators.cache.cache_control,39,3,3,0,3,0,0,9.0,1.0,3.0,no
Function,django.views.decorators.debug.sensitive_post_parameters,41,1,0,1,0,0,0,38.0,1.0,3.0,no
Function,django.views.decorators.http.require_http_methods,23,5,4,1,4,0,0,25.0,1.0,3.0,no
Function,django.views.decorators.vary.vary_on_headers,7,3,3,0,3,0,0,19.0,1.0,3.0,no
Function,template_tests.utils.setup,21,1,0,1,0,0,0,65.0,3.0,3.0,no
Function,boto.s3.bucket.Bucket.delete_keys,634,5,5,0,5,0,0,95.0,2.0,2.0,no
Function,tests.unit.route53.test_connection.TestRoute53Connection.do_retry_handler,80,2,0,2,0,0,0,23.0,2.0,3.0,no
Function,django.utils.decorators.method_decorator,20,3,1,2,1,0,0,35.0,1.0,4.0,yes
Function,django.utils.decorators.make_middleware_decorator,94,5,3,2,3,0,0,38.0,1.0,4.0,yes
Function,django.views.decorators.http.condition,69,12,9,3,9,0,0,101.0,0.0,4.0,yes
Function,auth_tests.test_management.mock_inputs,31,1,0,1,0,0,0,38.0,1.0,4.0,yes
Function,django.utils.decorators.method_decorator,20,3,1,2,1,0,0,35.0,1.0,4.0,yes
Function,django.utils.decorators.make_middleware_decorator,94,5,3,2,3,0,0,38.0,1.0,4.0,yes
Function,mailpile.mailboxes.pop3._MockPOP3.__init__,286,2,2,0,2,0,0,17.0,3.0,3.0,no
Function,mailpile.mail_source.imap._MockImap.__init__,917,2,2,0,2,0,0,9.0,3.0,3.0,no
Function,mailpile.plugins.migrate.migrate_mailboxes,61,8,8,0,8,0,0,91.0,1.0,2.0,no
Function,matplotlib.type1font.Type1Font._parse,205,3,2,1,2,0,0,48.0,1.0,0.0,no
Function,test.test_scope.ScopeTests.testExtraNesting,22,1,1,0,1,0,0,14.0,1.0,4.0,yes
Function,test.test_scope.ScopeTests.testNestingGlobalNoFree,51,1,1,0,1,0,0,17.0,1.0,5.0,yes
Function,test.test_scope.ScopeTests.testNearestEnclosingScope,98,1,1,0,1,0,0,0.0,0.0,0.0,yes
Function,test.test_scope.ScopeTests.testMixedFreevarsAndCellvars,111,1,1,0,1,0,0,0.0,0.0,0.0,yes
Function,test.test_scope.ScopeTests.testLocalsFunction,452,1,1,0,1,0,0,0.0,0.0,0.0,yes
Function,r2.lib.validator.validator.api_validate,219,9,9,0,9,0,0,55.0,0.0,5.0,yes
