type,className,fileName,lineno,CLOC,NOA,NOM
CLASS,_DeprecatedSequenceConstant,D:\ansible\constants.py,44,13,0,3
CLASS,AdHocCLI,D:\ansible\cli\adhoc.py,26,173,1,4
CLASS,ConfigCLI,D:\ansible\cli\config.py,84,565,1,18
CLASS,ConsoleCLI,D:\ansible\cli\console.py,37,563,8,48
CLASS,RoleMixin,D:\ansible\cli\doc.py,86,303,2,9
CLASS,DocCLI,D:\ansible\cli\doc.py,423,1086,23,32
CLASS,RoleDistributionServer,D:\ansible\cli\galaxy.py,178,21,0,1
CLASS,GalaxyCLI,D:\ansible\cli\galaxy.py,201,1693,2,45
CLASS,InventoryCLI,D:\ansible\cli\inventory.py,28,382,2,17
CLASS,PlaybookCLI,D:\ansible\cli\playbook.py,31,205,1,4
CLASS,PullCLI,D:\ansible\cli\pull.py,35,329,7,6
CLASS,VaultCLI,D:\ansible\cli\vault.py,27,455,4,13
CLASS,CLI,D:\ansible\cli\__init__.py,118,583,3,18
CLASS,SortingHelpFormatter,D:\ansible\cli\arguments\option_helpers.py,27,4,0,1
CLASS,ArgumentParser,D:\ansible\cli\arguments\option_helpers.py,33,8,0,1
CLASS,AnsibleVersion,D:\ansible\cli\arguments\option_helpers.py,43,5,0,1
CLASS,UnrecognizedArgument,D:\ansible\cli\arguments\option_helpers.py,50,7,0,2
CLASS,PrependListAction,D:\ansible\cli\arguments\option_helpers.py,59,29,0,2
CLASS,ConnectionProcess,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,59,150,0,7
CLASS,ConfigManager,D:\ansible\config\manager.py,277,343,2,15
CLASS,AnsibleError,D:\ansible\errors\__init__.py,38,172,0,7
CLASS,AnsiblePromptInterrupt,D:\ansible\errors\__init__.py,212,2,0,0
CLASS,AnsiblePromptNoninteractive,D:\ansible\errors\__init__.py,216,2,0,0
CLASS,AnsibleAssertionError,D:\ansible\errors\__init__.py,220,3,0,0
CLASS,AnsibleOptionsError,D:\ansible\errors\__init__.py,225,3,0,0
CLASS,AnsibleParserError,D:\ansible\errors\__init__.py,230,3,0,0
CLASS,AnsibleInternalError,D:\ansible\errors\__init__.py,235,3,0,0
CLASS,AnsibleRuntimeError,D:\ansible\errors\__init__.py,240,3,0,0
CLASS,AnsibleModuleError,D:\ansible\errors\__init__.py,245,3,0,0
CLASS,AnsibleConnectionFailure,D:\ansible\errors\__init__.py,250,3,0,0
CLASS,AnsibleAuthenticationFailure,D:\ansible\errors\__init__.py,255,3,0,0
CLASS,AnsibleCallbackError,D:\ansible\errors\__init__.py,260,3,0,0
CLASS,AnsibleTemplateError,D:\ansible\errors\__init__.py,265,3,0,0
CLASS,AnsibleFilterError,D:\ansible\errors\__init__.py,270,3,0,0
CLASS,AnsibleLookupError,D:\ansible\errors\__init__.py,275,3,0,0
CLASS,AnsibleUndefinedVariable,D:\ansible\errors\__init__.py,280,3,0,0
CLASS,AnsibleFileNotFound,D:\ansible\errors\__init__.py,285,25,0,1
CLASS,AnsibleAction,D:\ansible\errors\__init__.py,315,11,0,1
CLASS,AnsibleActionSkip,D:\ansible\errors\__init__.py,328,7,0,1
CLASS,AnsibleActionFail,D:\ansible\errors\__init__.py,337,6,0,1
CLASS,_AnsibleActionDone,D:\ansible\errors\__init__.py,345,3,0,0
CLASS,AnsiblePluginError,D:\ansible\errors\__init__.py,350,5,0,1
CLASS,AnsiblePluginRemovedError,D:\ansible\errors\__init__.py,357,3,0,0
CLASS,AnsiblePluginCircularRedirect,D:\ansible\errors\__init__.py,362,3,0,0
CLASS,AnsibleCollectionUnsupportedVersionError,D:\ansible\errors\__init__.py,367,3,0,0
CLASS,AnsibleFilterTypeError,D:\ansible\errors\__init__.py,372,3,0,0
CLASS,AnsiblePluginNotFound,D:\ansible\errors\__init__.py,377,3,0,0
CLASS,InterpreterDiscoveryRequiredError,D:\ansible\executor\interpreter_discovery.py,27,12,0,3
CLASS,ModuleDepFinder,D:\ansible\executor\module_common.py,437,137,1,4
CLASS,ModuleUtilLocatorBase,D:\ansible\executor\module_common.py,641,129,0,8
CLASS,LegacyModuleUtilLocator,D:\ansible\executor\module_common.py,774,40,0,3
CLASS,CollectionModuleUtilLocator,D:\ansible\executor\module_common.py,816,54,0,3
CLASS,PlaybookExecutor,D:\ansible\executor\playbook_executor.py,41,293,0,4
CLASS,IteratingStates,D:\ansible\executor\play_iterator.py,38,7,6,0
CLASS,FailedStates,D:\ansible\executor\play_iterator.py,47,7,6,0
CLASS,HostState,D:\ansible\executor\play_iterator.py,56,87,0,6
CLASS,PlayIterator,D:\ansible\executor\play_iterator.py,145,493,0,22
CLASS,AggregateStats,D:\ansible\executor\stats.py,25,74,0,6
CLASS,TaskTimeoutError,D:\ansible\executor\task_executor.py,44,2,0,0
CLASS,TaskExecutor,D:\ansible\executor\task_executor.py,75,1105,0,14
CLASS,CallbackSend,D:\ansible\executor\task_queue_manager.py,54,5,0,1
CLASS,DisplaySend,D:\ansible\executor\task_queue_manager.py,61,5,0,1
CLASS,PromptSend,D:\ansible\executor\task_queue_manager.py,69,7,0,0
CLASS,FinalQueue,D:\ansible\executor\task_queue_manager.py,78,28,0,5
CLASS,AnsibleEndPlay,D:\ansible\executor\task_queue_manager.py,108,3,0,1
CLASS,TaskQueueManager,D:\ansible\executor\task_queue_manager.py,113,357,6,14
CLASS,TaskResult,D:\ansible\executor\task_result.py,24,130,0,9
CLASS,PSModuleDepFinder,D:\ansible\executor\powershell\module_manifest.py,24,227,0,5
CLASS,WorkerQueue,D:\ansible\executor\process\worker.py,40,7,0,1
CLASS,WorkerProcess,D:\ansible\executor\process\worker.py,49,210,0,7
CLASS,GalaxyError,D:\ansible\galaxy\api.py,203,38,0,1
CLASS,CollectionVersionMetadata,D:\ansible\galaxy\api.py,248,24,0,1
CLASS,GalaxyAPI,D:\ansible\galaxy\api.py,275,661,0,26
CLASS,GalaxyRole,D:\ansible\galaxy\role.py,75,411,5,14
CLASS,NoTokenSentinel,D:\ansible\galaxy\token.py,38,4,0,1
CLASS,KeycloakToken,D:\ansible\galaxy\token.py,44,54,1,4
CLASS,GalaxyToken,D:\ansible\galaxy\token.py,100,58,1,7
CLASS,BasicAuthToken,D:\ansible\galaxy\token.py,160,27,1,4
CLASS,Galaxy,D:\ansible\galaxy\__init__.py,42,30,0,4
CLASS,ConcreteArtifactsManager,D:\ansible\galaxy\collection\concrete_artifact_manager.py,49,333,0,18
CLASS,MultiGalaxyAPIProxy,D:\ansible\galaxy\collection\galaxy_api_proxy.py,27,189,0,8
CLASS,GpgBaseError,D:\ansible\galaxy\collection\gpg.py,132,11,0,2
CLASS,GpgExpSig,D:\ansible\galaxy\collection\gpg.py,146,4,0,0
CLASS,GpgExpKeySig,D:\ansible\galaxy\collection\gpg.py,153,4,0,0
CLASS,GpgRevKeySig,D:\ansible\galaxy\collection\gpg.py,160,4,0,0
CLASS,GpgBadSig,D:\ansible\galaxy\collection\gpg.py,167,4,0,0
CLASS,GpgErrSig,D:\ansible\galaxy\collection\gpg.py,174,13,0,0
CLASS,GpgNoPubkey,D:\ansible\galaxy\collection\gpg.py,190,3,0,0
CLASS,GpgMissingPassPhrase,D:\ansible\galaxy\collection\gpg.py,196,2,0,0
CLASS,GpgBadPassphrase,D:\ansible\galaxy\collection\gpg.py,201,3,0,0
CLASS,GpgNoData,D:\ansible\galaxy\collection\gpg.py,207,9,0,0
CLASS,GpgUnexpected,D:\ansible\galaxy\collection\gpg.py,219,9,0,0
CLASS,GpgError,D:\ansible\galaxy\collection\gpg.py,231,5,0,0
CLASS,GpgFailure,D:\ansible\galaxy\collection\gpg.py,239,4,0,0
CLASS,GpgBadArmor,D:\ansible\galaxy\collection\gpg.py,246,2,0,0
CLASS,GpgKeyExpired,D:\ansible\galaxy\collection\gpg.py,251,3,0,0
CLASS,GpgKeyRevoked,D:\ansible\galaxy\collection\gpg.py,257,2,0,0
CLASS,GpgNoSecKey,D:\ansible\galaxy\collection\gpg.py,262,3,0,0
CLASS,PkgReq,D:\ansible\galaxy\collection\__init__.py,38,2,0,0
CLASS,ManifestControl,D:\ansible\galaxy\collection\__init__.py,148,11,0,1
CLASS,CollectionSignatureError,D:\ansible\galaxy\collection\__init__.py,161,38,0,5
CLASS,CollectionVerifyResult,D:\ansible\galaxy\collection\__init__.py,202,4,0,1
CLASS,DisplayThread,D:\ansible\galaxy\collection\__init__.py,1003,10,0,2
CLASS,_ComputedReqKindsMixin,D:\ansible\galaxy\dependency_resolution\dataclasses.py,168,422,1,28
CLASS,Requirement,D:\ansible\galaxy\dependency_resolution\dataclasses.py,598,12,0,2
CLASS,Candidate,D:\ansible\galaxy\dependency_resolution\dataclasses.py,612,22,0,3
CLASS,CollectionDependencyResolutionImpossible,D:\ansible\galaxy\dependency_resolution\errors.py,14,2,0,0
CLASS,CollectionDependencyInconsistentCandidate,D:\ansible\galaxy\dependency_resolution\errors.py,17,2,0,0
CLASS,AbstractProvider,D:\ansible\galaxy\dependency_resolution\providers.py,34,2,0,0
CLASS,CollectionDependencyProviderBase,D:\ansible\galaxy\dependency_resolution\providers.py,46,414,0,8
CLASS,CollectionDependencyProvider050,D:\ansible\galaxy\dependency_resolution\providers.py,463,8,0,2
CLASS,CollectionDependencyProvider060,D:\ansible\galaxy\dependency_resolution\providers.py,473,11,0,2
CLASS,CollectionDependencyProvider070,D:\ansible\galaxy\dependency_resolution\providers.py,486,4,0,1
CLASS,CollectionDependencyProvider080,D:\ansible\galaxy\dependency_resolution\providers.py,492,4,0,1
CLASS,BaseReporter,D:\ansible\galaxy\dependency_resolution\reporters.py,11,2,0,0
CLASS,CollectionDependencyReporter,D:\ansible\galaxy\dependency_resolution\reporters.py,15,6,0,0
CLASS,Resolver,D:\ansible\galaxy\dependency_resolution\resolvers.py,11,2,0,0
CLASS,CollectionDependencyResolver,D:\ansible\galaxy\dependency_resolution\resolvers.py,15,6,0,0
CLASS,InventoryData,D:\ansible\inventory\data.py,35,248,0,13
CLASS,InventoryObjectType,D:\ansible\inventory\group.py,56,3,2,0
CLASS,Group,D:\ansible\inventory\group.py,61,234,1,22
CLASS,Host,D:\ansible\inventory\host.py,30,139,1,18
CLASS,InventoryManager,D:\ansible\inventory\manager.py,139,613,0,29
CLASS,PolicyRcD,D:\ansible\modules\apt.py,408,75,0,3
CLASS,InvalidSource,D:\ansible\modules\apt_repository.py,222,2,0,0
CLASS,SourcesList,D:\ansible\modules\apt_repository.py,228,233,0,16
CLASS,UbuntuSourcesList,D:\ansible\modules\apt_repository.py,463,153,2,9
CLASS,AnsibleModuleError,D:\ansible\modules\copy.py,303,3,0,1
CLASS,CronTabError,D:\ansible\modules\cron.py,222,2,0,0
CLASS,CronTab,D:\ansible\modules\cron.py,226,319,0,26
CLASS,DnfModule,D:\ansible\modules\dnf.py,408,920,0,18
CLASS,Dnf5Module,D:\ansible\modules\dnf5.py,430,286,0,3
CLASS,AnsibleModuleError,D:\ansible\modules\file.py,248,6,0,2
CLASS,ParameterError,D:\ansible\modules\file.py,256,2,0,0
CLASS,Sentinel,D:\ansible\modules\file.py,260,3,0,1
CLASS,_Object,D:\ansible\modules\find.py,279,4,0,1
CLASS,Group,D:\ansible\modules\group.py,124,121,3,9
CLASS,Linux,D:\ansible\modules\group.py,249,21,2,1
CLASS,SunOS,D:\ansible\modules\group.py,274,23,3,1
CLASS,AIX,D:\ansible\modules\group.py,301,41,3,3
CLASS,FreeBsdGroup,D:\ansible\modules\group.py,346,42,3,3
CLASS,DragonFlyBsdGroup,D:\ansible\modules\group.py,390,7,1,0
CLASS,DarwinGroup,D:\ansible\modules\group.py,401,67,2,4
CLASS,OpenBsdGroup,D:\ansible\modules\group.py,470,42,3,3
CLASS,NetBsdGroup,D:\ansible\modules\group.py,516,42,3,3
CLASS,BusyBoxGroup,D:\ansible\modules\group.py,563,48,0,3
CLASS,AlpineGroup,D:\ansible\modules\group.py,613,4,2,0
CLASS,BaseStrategy,D:\ansible\modules\hostname.py,102,37,0,8
CLASS,UnimplementedStrategy,D:\ansible\modules\hostname.py,141,31,0,8
CLASS,CommandStrategy,D:\ansible\modules\hostname.py,174,25,1,5
CLASS,FileStrategy,D:\ansible\modules\hostname.py,201,22,1,2
CLASS,SLESStrategy,D:\ansible\modules\hostname.py,225,6,1,0
CLASS,RedHatStrategy,D:\ansible\modules\hostname.py,233,42,1,2
CLASS,AlpineStrategy,D:\ansible\modules\hostname.py,277,17,2,1
CLASS,SystemdStrategy,D:\ansible\modules\hostname.py,296,48,1,6
CLASS,OpenRCStrategy,D:\ansible\modules\hostname.py,346,37,1,2
CLASS,OpenBSDStrategy,D:\ansible\modules\hostname.py,385,26,2,3
CLASS,SolarisStrategy,D:\ansible\modules\hostname.py,413,33,1,4
CLASS,FreeBSDStrategy,D:\ansible\modules\hostname.py,448,58,2,5
