type,defName,fileName,lineno,MLOC,PAR,DOC,RMLOC
DEF,_warning,D:\ansible\constants.py,19,6,1,0,8
DEF,_deprecated,D:\ansible\constants.py,29,6,2,0,8
DEF,set_constant,D:\ansible\constants.py,39,1,2,0,3
DEF,_DeprecatedSequenceConstant.__init__,D:\ansible\constants.py,45,3,4,0,4
DEF,_DeprecatedSequenceConstant.__len__,D:\ansible\constants.py,50,1,1,0,3
DEF,_DeprecatedSequenceConstant.__getitem__,D:\ansible\constants.py,54,1,2,0,3
DEF,_init_global_context,D:\ansible\context.py,30,2,1,0,4
DEF,cliargs_deferred_get,D:\ansible\context.py,36,2,1,2,19
DEF,inner,D:\ansible\context.py,45,8,1,0,9
DEF,_short_name,D:\ansible\__main__.py,13,1,1,0,2
DEF,main,D:\ansible\__main__.py,17,14,1,0,22
DEF,AdHocCLI.init_parser,D:\ansible\cli\adhoc.py,33,22,1,0,28
DEF,AdHocCLI.post_process_args,D:\ansible\cli\adhoc.py,62,4,2,0,9
DEF,AdHocCLI._play_ds,D:\ansible\cli\adhoc.py,72,20,4,0,27
DEF,AdHocCLI.run,D:\ansible\cli\adhoc.py,100,64,1,0,99
DEF,main,D:\ansible\cli\adhoc.py,201,0,0,0,2
DEF,yaml_dump,D:\ansible\cli\config.py,38,1,1,0,2
DEF,yaml_short,D:\ansible\cli\config.py,42,1,1,0,2
DEF,get_constants,D:\ansible\cli\config.py,46,3,1,0,5
DEF,_ansible_env_vars,D:\ansible\cli\config.py,53,5,1,0,9
DEF,_get_evar_list,D:\ansible\cli\config.py,64,6,1,0,7
DEF,_get_ini_entries,D:\ansible\cli\config.py,73,8,1,0,9
DEF,ConfigCLI.__init__,D:\ansible\cli\config.py,89,3,2,0,5
DEF,ConfigCLI.init_parser,D:\ansible\cli\config.py,95,33,1,0,46
DEF,ConfigCLI.post_process_args,D:\ansible\cli\config.py,142,3,2,0,5
DEF,ConfigCLI.run,D:\ansible\cli\config.py,148,23,1,0,34
DEF,ConfigCLI.execute_update,D:\ansible\cli\config.py,183,14,1,0,23
DEF,ConfigCLI.execute_view,D:\ansible\cli\config.py,207,5,1,0,9
DEF,ConfigCLI.execute_edit,D:\ansible\cli\config.py,217,7,1,0,13
DEF,ConfigCLI._list_plugin_settings,D:\ansible\cli\config.py,231,18,2,0,29
DEF,ConfigCLI._list_entries_from_args,D:\ansible\cli\config.py,261,11,1,0,21
DEF,ConfigCLI.execute_list,D:\ansible\cli\config.py,283,6,1,0,12
DEF,ConfigCLI._get_settings_vars,D:\ansible\cli\config.py,296,42,3,0,56
DEF,ConfigCLI._get_settings_ini,D:\ansible\cli\config.py,353,34,3,0,53
DEF,ConfigCLI.execute_init,D:\ansible\cli\config.py,407,27,1,0,36
DEF,ConfigCLI._render_settings,D:\ansible\cli\config.py,444,22,2,0,33
DEF,ConfigCLI._get_global_configs,D:\ansible\cli\config.py,478,5,1,0,7
DEF,ConfigCLI._get_plugin_configs,D:\ansible\cli\config.py,486,41,3,0,69
DEF,ConfigCLI.execute_dump,D:\ansible\cli\config.py,556,22,1,0,35
DEF,ConfigCLI.execute_validate,D:\ansible\cli\config.py,592,40,1,0,57
DEF,main,D:\ansible\cli\config.py,651,0,0,0,2
DEF,ConsoleCLI.__init__,D:\ansible\cli\console.py,75,18,2,0,27
DEF,ConsoleCLI.init_parser,D:\ansible\cli\console.py,103,13,1,0,20
DEF,ConsoleCLI.post_process_args,D:\ansible\cli\console.py,124,4,2,0,5
DEF,ConsoleCLI.get_names,D:\ansible\cli\console.py,130,1,1,0,2
DEF,ConsoleCLI.cmdloop,D:\ansible\cli\console.py,133,7,1,0,10
DEF,ConsoleCLI.set_prompt,D:\ansible\cli\console.py,144,9,1,0,11
DEF,ConsoleCLI.list_modules,D:\ansible\cli\console.py,156,1,1,0,2
DEF,ConsoleCLI.default,D:\ansible\cli\console.py,159,69,2,0,87
DEF,ConsoleCLI.emptyline,D:\ansible\cli\console.py,247,1,1,0,2
