class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated,RCLOC,CLOC,NOA,NOM,fileName,lineno
ansible.modules.group.AIX,1,1,0,1,0,1,0,0,0,0,0,41.0,7.0,3.0,3.0,D:\ansible\modules\group.py,301.0
ansible.modules.service.AIX,1,1,0,1,0,1,0,0,0,0,0,116.0,7.0,2.0,4.0,D:\ansible\modules\service.py,1397.0
ansible.modules.user.AIX,1,1,0,1,0,1,0,0,0,0,0,199.0,8.0,3.0,4.0,D:\ansible\modules\user.py,2613.0
ansible.module_utils.facts.hardware.aix.AIXHardware,2,2,0,2,0,1,0,0,0,1,0,237.0,9.0,1.0,7.0,D:\ansible\module_utils\facts\hardware\aix.py,24.0
ansible.module_utils.facts.hardware.aix.AIXHardwareCollector,2,1,1,1,0,1,0,0,0,0,1,3.0,3.0,2.0,0.0,D:\ansible\module_utils\facts\hardware\aix.py,263.0
ansible.module_utils.facts.network.aix.AIXNetwork,2,2,0,2,0,1,0,0,0,1,0,116.0,5.0,1.0,3.0,D:\ansible\module_utils\facts\network\aix.py,24.0
ansible.module_utils.facts.network.aix.AIXNetworkCollector,2,1,1,1,0,1,0,0,0,0,1,3.0,3.0,2.0,0.0,D:\ansible\module_utils\facts\network\aix.py,142.0
ansible.modules.service_facts.AIXScanService,1,1,0,1,0,1,0,0,0,0,0,27.0,2.0,0.0,1.0,D:\ansible\modules\service_facts.py,312.0
ansible.modules.hostname.ALTLinuxHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,804.0
ansible.modules.package_facts.APK,1,1,0,1,0,1,0,0,0,0,0,21.0,4.0,1.0,2.0,D:\ansible\modules\package_facts.py,457.0
ansible.modules.package_facts.APT,1,1,0,1,0,1,0,0,0,0,0,48.0,7.0,1.0,5.0,D:\ansible\modules\package_facts.py,309.0
ansible.plugins.action.add_host.ActionModule,0,0,0,0,0,0,0,0,0,0,0,63.0,5.0,3.0,1.0,D:\ansible\plugins\action\add_host.py,33.0
ansible.plugins.action.assemble.ActionModule,0,0,0,0,0,0,0,0,0,0,0,131.0,4.0,1.0,2.0,D:\ansible\plugins\action\assemble.py,35.0
ansible.plugins.action.assert.ActionModule,0,0,0,0,0,0,0,0,0,0,0,69.0,4.0,2.0,1.0,D:\ansible\plugins\action\assert.py,26.0
ansible.plugins.action.async_status.ActionModule,0,0,0,0,0,0,0,0,0,0,0,42.0,3.0,0.0,2.0,D:\ansible\plugins\action\async_status.py,10.0
ansible.plugins.action.command.ActionModule,0,0,0,0,0,0,0,0,0,0,0,17.0,2.0,0.0,1.0,D:\ansible\plugins\action\command.py,10.0
ansible.plugins.action.copy.ActionModule,0,0,0,0,0,0,0,0,0,0,0,401.0,7.0,1.0,5.0,D:\ansible\plugins\action\copy.py,202.0
ansible.plugins.action.debug.ActionModule,0,0,0,0,0,0,0,0,0,0,0,60.0,5.0,3.0,1.0,D:\ansible\plugins\action\debug.py,26.0
ansible.plugins.action.dnf.ActionModule,0,0,0,0,0,0,0,0,0,0,0,70.0,3.0,1.0,1.0,D:\ansible\plugins\action\dnf.py,14.0
ansible.plugins.action.fail.ActionModule,0,0,0,0,0,0,0,0,0,0,0,21.0,5.0,3.0,1.0,D:\ansible\plugins\action\fail.py,23.0
ansible.plugins.action.fetch.ActionModule,0,0,0,0,0,0,0,0,0,0,0,180.0,2.0,0.0,1.0,D:\ansible\plugins\action\fetch.py,33.0
ansible.plugins.action.gather_facts.ActionModule,0,0,0,0,0,0,0,0,0,0,0,159.0,5.0,1.0,3.0,D:\ansible\plugins\action\gather_facts.py,17.0
ansible.plugins.action.group_by.ActionModule,0,0,0,0,0,0,0,0,0,0,0,29.0,5.0,3.0,1.0,D:\ansible\plugins\action\group_by.py,23.0
ansible.plugins.action.include_vars.ActionModule,0,0,0,0,0,0,0,0,0,0,0,273.0,17.0,6.0,10.0,D:\ansible\plugins\action\include_vars.py,18.0
ansible.plugins.action.normal.ActionModule,0,0,0,0,0,0,0,0,0,0,0,26.0,4.0,2.0,1.0,D:\ansible\plugins\action\normal.py,24.0
ansible.plugins.action.package.ActionModule,0,0,0,0,0,0,0,0,0,0,0,83.0,4.0,2.0,1.0,D:\ansible\plugins\action\package.py,29.0
